"country","year","gender","age","rank_permanent_inc","nobs_res_1yr_log_chg_by_skill","p9050_res_1yr_log_chg_by_skill","p5010_res_1yr_log_chg_by_skill","p9010_res_1yr_log_chg_by_skill"
"AUS",2005,"All genders","35-44",22.5,38816,0.34891188,0.270336,0.61924791
"AUS",2005,"All genders","35-44",25,38815,0.3369526,0.2575587,0.59451127
"AUS",2005,"All genders","35-44",27.5,38816,0.31976712,0.24586299,0.56563008
"AUS",2005,"All genders","35-44",30,38815,0.2973403,0.2440549,0.54139519
"AUS",2005,"All genders","35-44",32.5,38816,0.29396421,0.23912561,0.53308982
"AUS",2005,"All genders","35-44",35,38816,0.2836009,0.2340076,0.51760852
"AUS",2005,"All genders","35-44",37.5,38815,0.28099531,0.2283168,0.50931209
"AUS",2005,"All genders","35-44",40,38816,0.26152182,0.2156034,0.4771252
"AUS",2005,"All genders","35-44",42.5,38815,0.2630614,0.2242419,0.48730329
"AUS",2005,"All genders","35-44",45,38816,0.2518771,0.21686921,0.4687463
"AUS",2005,"All genders","35-44",47.5,38815,0.24839848,0.21541259,0.4638111
"AUS",2005,"All genders","35-44",50,38816,0.2390354,0.21896479,0.45800018
"AUS",2005,"All genders","35-44",52.5,38816,0.2359938,0.21170151,0.44769531
"AUS",2005,"All genders","35-44",55,38815,0.2326037,0.2158601,0.4484638
"AUS",2005,"All genders","35-44",57.5,38816,0.22546029,0.2088014,0.43426168
"AUS",2005,"All genders","35-44",60,38815,0.2212466,0.2089169,0.4301635
"AUS",2005,"All genders","35-44",62.5,38816,0.2222513,0.20434609,0.42659739
"AUS",2005,"All genders","35-44",65,38815,0.2157419,0.2023854,0.4181273
"AUS",2005,"All genders","35-44",67.5,38816,0.21511111,0.20263121,0.41774231
"AUS",2005,"All genders","35-44",70,38816,0.2096145,0.2013727,0.4109872
"AUS",2005,"All genders","35-44",72.5,38815,0.21456301,0.20665491,0.42121792
"AUS",2005,"All genders","35-44",75,38816,0.20931871,0.20973881,0.41905752
"AUS",2005,"All genders","35-44",77.5,38815,0.21250838,0.20465571,0.41716409
"AUS",2005,"All genders","35-44",80,38816,0.20913589,0.2104497,0.41958559
"AUS",2005,"All genders","35-44",82.5,38815,0.20749861,0.2268797,0.43437833
"AUS",2005,"All genders","35-44",85,38816,0.20923062,0.22766079,0.43689141
"AUS",2005,"All genders","35-44",87.5,38816,0.21123412,0.2389226,0.45015672
"AUS",2005,"All genders","35-44",90,38815,0.20902038,0.23910281,0.44812319
"AUS",2005,"All genders","35-44",92.5,38816,0.20635161,0.24076231,0.44711393
"AUS",2005,"All genders","35-44",95,38815,0.21497759,0.2479161,0.46289369
"AUS",2005,"All genders","35-44",97.5,38816,0.24724221,0.30053949,0.54778171
"AUS",2005,"All genders","35-44",99,23289,0.29609138,0.35655093,0.65264231
"AUS",2005,"All genders","35-44",99.9,13974,0.33561289,0.44241953,0.77803242
"AUS",2005,"All genders","35-44",100,1552,0.45506412,0.66190171,1.1169658
"AUS",2005,"All genders","45-55",2.5,24090,0.73704022,0.3681227,1.1051629
"AUS",2005,"All genders","45-55",5,24089,0.55926585,0.36800569,0.92727149
"AUS",2005,"All genders","45-55",7.5,24089,0.48344401,0.33477551,0.81821954
"AUS",2005,"All genders","45-55",10,24090,0.42593801,0.31328911,0.73922712
"AUS",2005,"All genders","45-55",12.5,24089,0.38735002,0.27856171,0.66591167
"AUS",2005,"All genders","45-55",15,24089,0.35186329,0.26000699,0.61187029
"AUS",2005,"All genders","45-55",17.5,24090,0.32488522,0.23959509,0.5644803
"AUS",2005,"All genders","45-55",20,24089,0.29209888,0.230691,0.5227899
"AUS",2005,"All genders","45-55",22.5,24089,0.2836557,0.22188801,0.50554371
"AUS",2005,"All genders","45-55",25,24089,0.2670067,0.2151472,0.48215389
"AUS",2005,"All genders","45-55",27.5,24090,0.25613481,0.20304871,0.45918351
"AUS",2005,"All genders","45-55",30,24089,0.2419385,0.21302041,0.45495892
"AUS",2005,"All genders","45-55",32.5,24091,0.24008271,0.20101041,0.44109309
"AUS",2005,"All genders","45-55",35,24088,0.2269164,0.19781491,0.42473131
"AUS",2005,"All genders","45-55",37.5,24089,0.21689811,0.19147679,0.40837491
"AUS",2005,"All genders","45-55",40,24089,0.2080777,0.1900892,0.39816689
"AUS",2005,"All genders","45-55",42.5,24090,0.2069613,0.1923288,0.39929008
"AUS",2005,"All genders","45-55",45,24089,0.20516959,0.18817781,0.39334738
"AUS",2005,"All genders","45-55",47.5,24090,0.1953367,0.18169719,0.37703389
"AUS",2005,"All genders","45-55",50,24088,0.1930908,0.1835257,0.37661648
"AUS",2005,"All genders","45-55",52.5,24090,0.18853551,0.17719421,0.36572969
"AUS",2005,"All genders","45-55",55,24089,0.1889386,0.1770317,0.36597031
"AUS",2005,"All genders","45-55",57.5,24089,0.181656,0.1703971,0.35205311
"AUS",2005,"All genders","45-55",60,24090,0.1725605,0.16705211,0.3396126
"AUS",2005,"All genders","45-55",62.5,24090,0.1688095,0.1638474,0.33265689
"AUS",2005,"All genders","45-55",65,24088,0.16806799,0.153055,0.321123
"AUS",2005,"All genders","45-55",67.5,24090,0.17320201,0.1675797,0.34078169
"AUS",2005,"All genders","45-55",70,24089,0.16898879,0.1589071,0.32789591
"AUS",2005,"All genders","45-55",72.5,24089,0.1736743,0.16739289,0.34106719
"AUS",2005,"All genders","45-55",75,24089,0.16905381,0.1656445,0.33469832
"AUS",2005,"All genders","45-55",77.5,24090,0.1684067,0.16715339,0.33556008
"AUS",2005,"All genders","45-55",80,24089,0.16609389,0.1671633,0.3332572
"AUS",2005,"All genders","45-55",82.5,24089,0.1700618,0.1676778,0.33773959
"AUS",2005,"All genders","45-55",85,24090,0.17039371,0.174842,0.34523571
"AUS",2005,"All genders","45-55",87.5,24089,0.16868851,0.17830279,0.3469913
"AUS",2005,"All genders","45-55",90,24089,0.1550253,0.1532301,0.3082554
"AUS",2005,"All genders","45-55",92.5,24090,0.1459116,0.15254441,0.29845601
"AUS",2005,"All genders","45-55",95,24089,0.1726619,0.1842593,0.3569212
"AUS",2005,"All genders","45-55",97.5,24089,0.1915461,0.2072773,0.39882338
"AUS",2005,"All genders","45-55",99,14454,0.2413366,0.2809945,0.52233112
"AUS",2005,"All genders","45-55",99.9,8672,0.30363721,0.36767989,0.6713171
"AUS",2005,"All genders","45-55",100,963,0.36463541,0.72132909,1.0859644
"AUS",2006,"All genders","25-34",2.5,29115,0.84399533,0.57530969,1.4193051
"AUS",2006,"All genders","25-34",5,29115,0.73644757,0.57663584,1.3130834
"AUS",2006,"All genders","25-34",7.5,29115,0.66927356,0.5399065,1.2091801
"AUS",2006,"All genders","25-34",10,29115,0.62486815,0.53378546,1.1586536
"AUS",2006,"All genders","25-34",12.5,29115,0.57043433,0.50950819,1.0799425
"AUS",2006,"All genders","25-34",15,29115,0.5472911,0.4771269,1.024418
"AUS",2006,"All genders","25-34",17.5,29115,0.51948547,0.446702,0.96618748
"AUS",2006,"All genders","25-34",20,29114,0.47997692,0.42350158,0.9034785
"AUS",2006,"All genders","25-34",22.5,29115,0.44225129,0.41124809,0.85349941
"AUS",2006,"All genders","25-34",25,29115,0.41913709,0.38386819,0.80300528
"AUS",2006,"All genders","25-34",27.5,29115,0.39942142,0.37718228,0.7766037
"AUS",2006,"All genders","25-34",30,29115,0.3805595,0.35712302,0.73768246
"AUS",2006,"All genders","25-34",32.5,29115,0.35495082,0.34523401,0.70018482
"AUS",2006,"All genders","25-34",35,29115,0.34375858,0.35202789,0.69578648
"AUS",2006,"All genders","25-34",37.5,29115,0.32310429,0.33871001,0.66181427
"AUS",2006,"All genders","25-34",40,29114,0.3196218,0.3344419,0.6540637
"AUS",2006,"All genders","25-34",42.5,29115,0.31560001,0.3294026,0.6450026
"AUS",2006,"All genders","25-34",45,29115,0.3000955,0.32601291,0.62610841
"AUS",2006,"All genders","25-34",47.5,29115,0.28651041,0.33202741,0.61853778
"AUS",2006,"All genders","25-34",50,29115,0.28543359,0.32000449,0.60543811
"AUS",2006,"All genders","25-34",52.5,29115,0.2753382,0.3179374,0.59327561
"AUS",2006,"All genders","25-34",55,29115,0.26957953,0.31629211,0.58587158
"AUS",2006,"All genders","25-34",57.5,29115,0.26493731,0.31797409,0.58291143
"AUS",2006,"All genders","25-34",60,29115,0.2569609,0.30389249,0.56085342
"AUS",2006,"All genders","25-34",62.5,29114,0.25699291,0.30489129,0.56188422
"AUS",2006,"All genders","25-34",65,29115,0.25102949,0.3044551,0.55548459
"AUS",2006,"All genders","25-34",67.5,29115,0.24791889,0.31242949,0.56034839
"AUS",2006,"All genders","25-34",70,29115,0.2432061,0.3021453,0.54535139
"AUS",2006,"All genders","25-34",72.5,29115,0.24393418,0.3079766,0.55191076
"AUS",2006,"All genders","25-34",75,29115,0.24411571,0.31549111,0.55960679
"AUS",2006,"All genders","25-34",77.5,29115,0.24235779,0.30595732,0.54831511
"AUS",2006,"All genders","25-34",80,29114,0.2358757,0.32061249,0.55648822
"AUS",2006,"All genders","25-34",82.5,29115,0.23291412,0.32066908,0.5535832
"AUS",2006,"All genders","25-34",85,29115,0.22384658,0.3243351,0.54818171
"AUS",2006,"All genders","25-34",87.5,29115,0.22671711,0.3391161,0.56583321
"AUS",2006,"All genders","25-34",90,29115,0.22970811,0.32643801,0.55614609
"AUS",2006,"All genders","25-34",92.5,29115,0.23235568,0.3236641,0.55601978
"AUS",2006,"All genders","25-34",95,29115,0.24342549,0.33512169,0.57854718
"AUS",2006,"All genders","25-34",97.5,29115,0.2641044,0.35381901,0.61792338
"AUS",2006,"All genders","25-34",99,17469,0.28968281,0.37687212,0.66655493
"AUS",2006,"All genders","25-34",99.9,10481,0.35764149,0.4690668,0.82670832
"AUS",2006,"All genders","25-34",100,1164,0.49684477,0.70838451,1.2052293
"AUS",2006,"All genders","25-55",2.5,94031,0.78135759,0.4606536,1.2420112
"AUS",2006,"All genders","25-55",5,94031,0.65428758,0.44696951,1.1012571
"AUS",2006,"All genders","25-55",7.5,94034,0.58814716,0.41826689,1.0064141
"AUS",2006,"All genders","25-55",10,94027,0.5330261,0.39656973,0.92959583
"AUS",2006,"All genders","25-55",12.5,94030,0.486121,0.3710717,0.8571927
"AUS",2006,"All genders","25-55",15,94031,0.45030612,0.3430894,0.79339552
"AUS",2006,"All genders","25-55",17.5,94030,0.4154858,0.32072431,0.73621011
"AUS",2006,"All genders","25-55",20,94031,0.38881311,0.2995522,0.68836534
"AUS",2006,"All genders","25-55",22.5,94030,0.3634899,0.28686279,0.65035272
"AUS",2006,"All genders","25-55",25,94031,0.34344921,0.2836231,0.62707233
"AUS",2006,"All genders","25-55",27.5,94031,0.33244628,0.27107111,0.60351741
"AUS",2006,"All genders","25-55",30,94030,0.31686509,0.26894361,0.58580869
"AUS",2006,"All genders","25-55",32.5,94031,0.30767709,0.25768262,0.56535971
"AUS",2006,"All genders","25-55",35,94030,0.29368991,0.25623691,0.54992682
"AUS",2006,"All genders","25-55",37.5,94031,0.28356329,0.25519809,0.53876138
"AUS",2006,"All genders","25-55",40,94030,0.27613828,0.2509287,0.52706701
"AUS",2006,"All genders","25-55",42.5,94031,0.26615241,0.24499279,0.51114523
"AUS",2006,"All genders","25-55",45,94030,0.26193082,0.2427808,0.50471163
"AUS",2006,"All genders","25-55",47.5,94031,0.25414142,0.24107701,0.4952184
"AUS",2006,"All genders","25-55",50,94030,0.24764559,0.24266589,0.4903115
"AUS",2006,"All genders","25-55",52.5,94031,0.24597389,0.23633499,0.48230886
"AUS",2006,"All genders","25-55",55,94031,0.24013638,0.23467641,0.47481281
"AUS",2006,"All genders","25-55",57.5,94030,0.23688069,0.22905719,0.46593791
"AUS",2006,"All genders","25-55",60,94031,0.2292726,0.22928169,0.45855433
"AUS",2006,"All genders","25-55",62.5,94030,0.2274446,0.2256054,0.45305002
"AUS",2006,"All genders","25-55",65,94031,0.22163892,0.22384942,0.44548833
"AUS",2006,"All genders","25-55",67.5,94030,0.22235301,0.2238538,0.44620681
"AUS",2006,"All genders","25-55",70,94031,0.22087568,0.2283895,0.44926518
"AUS",2006,"All genders","25-55",72.5,94030,0.21818911,0.2295275,0.44771659
"AUS",2006,"All genders","25-55",75,94031,0.217291,0.2300719,0.4473629
"AUS",2006,"All genders","25-55",77.5,94031,0.21765891,0.23490681,0.45256573
"AUS",2006,"All genders","25-55",80,94030,0.21285531,0.2354403,0.44829559
"AUS",2006,"All genders","25-55",82.5,94031,0.21056512,0.23717731,0.4477424
"AUS",2006,"All genders","25-55",85,94030,0.21122462,0.2454223,0.45664692
"AUS",2006,"All genders","25-55",87.5,94031,0.2107688,0.239594,0.4503628
"AUS",2006,"All genders","25-55",90,94030,0.2105521,0.24110249,0.45165458
"AUS",2006,"All genders","25-55",92.5,94031,0.2068831,0.2357285,0.44261158
"AUS",2006,"All genders","25-55",95,94030,0.2140761,0.24404129,0.45811743
"AUS",2006,"All genders","25-55",97.5,94031,0.239838,0.2670089,0.5068469
"AUS",2006,"All genders","25-55",99,56418,0.28400338,0.3229596,0.60696298
"AUS",2006,"All genders","25-55",99.9,33851,0.3336567,0.40894538,0.74260211
"AUS",2006,"All genders","25-55",100,3761,0.43203881,0.67595571,1.1079946
"AUS",2006,"All genders","35-44",2.5,39941,0.7606771,0.4540064,1.2146835
"AUS",2006,"All genders","35-44",5,39941,0.62977302,0.426954,1.0567269
"AUS",2006,"All genders","35-44",7.5,39941,0.56384957,0.40678167,0.97063124
"AUS",2006,"All genders","35-44",10,39941,0.5284608,0.3830761,0.91153693
"AUS",2006,"All genders","35-44",12.5,39940,0.47656816,0.36427072,0.84083891
"AUS",2006,"All genders","35-44",15,39941,0.44045258,0.33937138,0.77982402
"AUS",2006,"All genders","35-44",17.5,39941,0.40718669,0.30630919,0.71349591
"AUS",2006,"All genders","35-44",20,39941,0.38145542,0.28001559,0.66147101
"AUS",2006,"All genders","35-44",22.5,39941,0.3589983,0.27540809,0.63440639
"AUS",2006,"All genders","35-44",25,39940,0.33387679,0.27063882,0.60451561
"AUS",2006,"All genders","35-44",27.5,39941,0.32027531,0.247173,0.56744832
"AUS",2006,"All genders","35-44",30,39941,0.30992019,0.25700098,0.56692117
"AUS",2006,"All genders","35-44",32.5,39941,0.29768193,0.23904321,0.5367251
"AUS",2006,"All genders","35-44",35,39941,0.28834629,0.24456801,0.53291428
"AUS",2006,"All genders","35-44",37.5,39940,0.28203171,0.24280101,0.52483273
"AUS",2006,"All genders","35-44",40,39941,0.26744032,0.2372998,0.50474012
"AUS",2006,"All genders","35-44",42.5,39941,0.2620745,0.2315876,0.49366212
"AUS",2006,"All genders","35-44",45,39941,0.2493048,0.22671691,0.47602171
"AUS",2006,"All genders","35-44",47.5,39941,0.243826,0.2264204,0.4702464
"AUS",2006,"All genders","35-44",50,39940,0.23709831,0.2276708,0.46476912
"AUS",2006,"All genders","35-44",52.5,39941,0.2413986,0.2191436,0.4605422
"AUS",2006,"All genders","35-44",55,39941,0.23554489,0.2210906,0.45663548
"AUS",2006,"All genders","35-44",57.5,39941,0.22832832,0.2115511,0.43987942
"AUS",2006,"All genders","35-44",60,39941,0.2267209,0.2142483,0.4409692
"AUS",2006,"All genders","35-44",62.5,39940,0.2197921,0.21238449,0.43217659
"AUS",2006,"All genders","35-44",65,39941,0.21538612,0.20555851,0.42094463
"AUS",2006,"All genders","35-44",67.5,39941,0.209748,0.20575461,0.41550261
"AUS",2006,"All genders","35-44",70,39941,0.214647,0.21472001,0.42936701
"AUS",2006,"All genders","35-44",72.5,39941,0.21030191,0.2098265,0.42012841
"AUS",2006,"All genders","35-44",75,39940,0.21233688,0.22226471,0.4346016
"AUS",2006,"All genders","35-44",77.5,39941,0.21065751,0.21704131,0.42769879
"AUS",2006,"All genders","35-44",80,39941,0.20803252,0.21753141,0.42556393
"AUS",2006,"All genders","35-44",82.5,39941,0.20975171,0.22891361,0.43866533
"AUS",2006,"All genders","35-44",85,39941,0.21262829,0.231069,0.44369727
"AUS",2006,"All genders","35-44",87.5,39940,0.20657229,0.23600739,0.44257969
"AUS",2006,"All genders","35-44",90,39941,0.20819342,0.24591029,0.45410371
"AUS",2006,"All genders","35-44",92.5,39941,0.20283179,0.247308,0.45013979
"AUS",2006,"All genders","35-44",95,39941,0.21636072,0.25299239,0.46935311
"AUS",2006,"All genders","35-44",97.5,39941,0.2473508,0.28512549,0.53247631
"AUS",2006,"All genders","35-44",99,23964,0.30139971,0.34846172,0.64986145
"AUS",2006,"All genders","35-44",99.9,14379,0.35427451,0.44518977,0.79946429
"AUS",2006,"All genders","35-44",100,1597,0.47940782,0.70298684,1.1823946
"AUS",2006,"All genders","45-55",2.5,24975,0.71942592,0.38056898,1.0999949
"AUS",2006,"All genders","45-55",5,24975,0.57015991,0.3672953,0.93745518
"AUS",2006,"All genders","45-55",7.5,24975,0.49676991,0.3277669,0.8245368
"AUS",2006,"All genders","45-55",10,24976,0.43073222,0.31606489,0.74679714
"AUS",2006,"All genders","45-55",12.5,24974,0.3957805,0.2833263,0.67910683
"AUS",2006,"All genders","45-55",15,24975,0.35061592,0.27310491,0.62372082
"AUS",2006,"All genders","45-55",17.5,24975,0.3203066,0.2433977,0.56370431
"AUS",2006,"All genders","45-55",20,24974,0.30137253,0.2349329,0.53630543
"AUS",2006,"All genders","45-55",22.5,24975,0.28339019,0.2216745,0.50506473
"AUS",2006,"All genders","45-55",25,24975,0.26392391,0.2122322,0.47615612
"AUS",2006,"All genders","45-55",27.5,24975,0.25733888,0.22146571,0.47880459
"AUS",2006,"All genders","45-55",30,24975,0.24221298,0.21258381,0.45479679
"AUS",2006,"All genders","45-55",32.5,24975,0.24470541,0.2059648,0.45067018
"AUS",2006,"All genders","45-55",35,24975,0.22174251,0.20544541,0.42718792
"AUS",2006,"All genders","45-55",37.5,24975,0.22127539,0.19675592,0.41803131
"AUS",2006,"All genders","45-55",40,24974,0.2093212,0.1984649,0.4077861
"AUS",2006,"All genders","45-55",42.5,24975,0.20991269,0.1933842,0.40329689
"AUS",2006,"All genders","45-55",45,24975,0.2036656,0.1906274,0.39429301
"AUS",2006,"All genders","45-55",47.5,24983,0.1909775,0.1913147,0.38229221
"AUS",2006,"All genders","45-55",50,24968,0.18953381,0.1871848,0.37671861
"AUS",2006,"All genders","45-55",52.5,24974,0.1922652,0.1885588,0.380824
"AUS",2006,"All genders","45-55",55,24975,0.1806896,0.18108779,0.3617774
"AUS",2006,"All genders","45-55",57.5,24975,0.1808383,0.1793482,0.36018652
"AUS",2006,"All genders","45-55",60,24974,0.1727128,0.1793851,0.3520979
"AUS",2006,"All genders","45-55",62.5,24975,0.1680025,0.16826749,0.33627
"AUS",2006,"All genders","45-55",65,24975,0.1712555,0.17503831,0.34629381
"AUS",2006,"All genders","45-55",67.5,24975,0.16632511,0.1751799,0.34150499
"AUS",2006,"All genders","45-55",70,24975,0.16611201,0.1728152,0.33892721
"AUS",2006,"All genders","45-55",72.5,24975,0.16417541,0.17657229,0.34074771
"AUS",2006,"All genders","45-55",75,24975,0.161283,0.1737304,0.33501339
"AUS",2006,"All genders","45-55",77.5,24975,0.1638826,0.1767738,0.3406564
"AUS",2006,"All genders","45-55",80,24974,0.15996781,0.1822775,0.34224531
"AUS",2006,"All genders","45-55",82.5,24975,0.16233429,0.17603511,0.3383694
"AUS",2006,"All genders","45-55",85,24975,0.16115159,0.18066421,0.3418158
"AUS",2006,"All genders","45-55",87.5,24975,0.15184331,0.1864453,0.33828861
"AUS",2006,"All genders","45-55",90,24975,0.1410158,0.17741311,0.3184289
"AUS",2006,"All genders","45-55",92.5,24975,0.13438651,0.17334321,0.30772972
"AUS",2006,"All genders","45-55",95,24976,0.15723491,0.19220918,0.34944409
"AUS",2006,"All genders","45-55",97.5,24974,0.1939891,0.23074931,0.42473841
"AUS",2006,"All genders","45-55",99,14985,0.2363974,0.28550118,0.52189863
"AUS",2006,"All genders","45-55",99.9,8991,0.30900189,0.37328029,0.68228221
"AUS",2006,"All genders","45-55",100,998,0.38976109,0.73725438,1.1270155
"AUS",2007,"All genders","25-34",2.5,30197,0.84617901,0.57636058,1.4225396
