,variable,share,percentile
67,TAX_OFSTS_TOTL_AMT,0.05,860
68,CG,0.34,860
69,Relevant_D,0.54,860
70,total_fy_amount,0.03,860
71,medicare,0.04,850
72,TAX_OFSTS_TOTL_AMT,0.06,850
73,CG,0.3,850
74,Relevant_D,0.55,850
75,total_fy_amount,0.05,850
76,medicare,0.05,840
77,TAX_OFSTS_TOTL_AMT,0.07,840
78,CG,0.28,840
79,Relevant_D,0.55,840
80,total_fy_amount,0.05,840
81,medicare,0.04,830
82,TAX_OFSTS_TOTL_AMT,0.08,830
83,CG,0.27,830
84,Relevant_D,0.55,830
85,total_fy_amount,0.07,830
86,medicare,0.06,820
87,TAX_OFSTS_TOTL_AMT,0.15,820
88,CG,0.17,820
89,Relevant_D,0.45,820
90,total_fy_amount,0.16,820
91,medicare,0.03,810
92,TAX_OFSTS_TOTL_AMT,0.1,810
93,CG,0.2,810
94,Relevant_D,0.55,810
95,total_fy_amount,0.12,810
96,medicare,0.04,800
97,TAX_OFSTS_TOTL_AMT,0.08,800
98,CG,0.25,800
99,Relevant_D,0.52,800
100,total_fy_amount,0.11,800
101,medicare,0.06,790
102,TAX_OFSTS_TOTL_AMT,0.45,790
103,CG,0.09,790
104,Relevant_D,0.31,790
105,total_fy_amount,0.08,790
106,medicare,0.03,780
107,TAX_OFSTS_TOTL_AMT,0.14,780
108,CG,0.19,780
109,Relevant_D,0.51,780
110,total_fy_amount,0.14,780
111,medicare,0.08,770
112,TAX_OFSTS_TOTL_AMT,0.27,770
113,CG,0.13,770
114,Relevant_D,0.33,770
115,total_fy_amount,0.2,770
116,medicare,0.04,760
117,TAX_OFSTS_TOTL_AMT,0.12,760
118,CG,0.19,760
119,Relevant_D,0.47,760
120,total_fy_amount,0.18,760
121,medicare,0.05,750
122,TAX_OFSTS_TOTL_AMT,0.13,750
123,CG,0.13,750
124,Relevant_D,0.49,750
125,total_fy_amount,0.2,750
126,medicare,0.06,740
127,TAX_OFSTS_TOTL_AMT,0.13,740
128,CG,0.13,740
129,Relevant_D,0.46,740
130,total_fy_amount,0.21,740
131,medicare,0.06,730
132,TAX_OFSTS_TOTL_AMT,0.13,730
133,CG,0.13,730
134,Relevant_D,0.46,730
135,total_fy_amount,0.22,730
136,medicare,0.06,720
137,TAX_OFSTS_TOTL_AMT,0.13,720
138,CG,0.14,720
139,Relevant_D,0.44,720
140,total_fy_amount,0.24,720
141,medicare,0.09,710
142,TAX_OFSTS_TOTL_AMT,0.19,710
143,CG,0.01,710
144,Relevant_D,0.38,710
145,total_fy_amount,0.32,710
146,medicare,0.06,700
147,TAX_OFSTS_TOTL_AMT,0.14,700
148,CG,0.12,700
149,Relevant_D,0.43,700
150,total_fy_amount,0.25,700
151,medicare,0.08,690
152,TAX_OFSTS_TOTL_AMT,0.16,690
153,CG,0,690
154,Relevant_D,0.47,690
155,total_fy_amount,0.3,690
156,medicare,0.05,680
157,TAX_OFSTS_TOTL_AMT,0.13,680
158,CG,0.08,680
159,Relevant_D,0.45,680
160,total_fy_amount,0.3,680
161,medicare,0.06,670
162,TAX_OFSTS_TOTL_AMT,0.13,670
163,CG,0.06,670
164,Relevant_D,0.45,670
165,total_fy_amount,0.3,670
166,medicare,0.06,660
167,TAX_OFSTS_TOTL_AMT,0.14,660
168,CG,0.1,660
169,Relevant_D,0.42,660
170,total_fy_amount,0.28,660
171,medicare,0.06,650
172,TAX_OFSTS_TOTL_AMT,0.15,650
173,CG,0.06,650
174,Relevant_D,0.42,650
175,total_fy_amount,0.31,650
176,medicare,0.04,640
177,TAX_OFSTS_TOTL_AMT,0.08,640
178,CG,0.3,640
179,Relevant_D,0.36,640
180,total_fy_amount,0.22,640
181,medicare,0.06,630
182,TAX_OFSTS_TOTL_AMT,0.06,630
183,CG,0.06,630
184,Relevant_D,0.47,630
185,total_fy_amount,0.34,630
186,medicare,0.05,620
187,TAX_OFSTS_TOTL_AMT,0.16,620
188,CG,0.06,620
189,Relevant_D,0.4,620
190,total_fy_amount,0.33,620
191,medicare,0.06,610
192,TAX_OFSTS_TOTL_AMT,0.17,610
193,CG,0.06,610
194,Relevant_D,0.39,610
195,total_fy_amount,0.32,610
196,medicare,0.06,600
197,TAX_OFSTS_TOTL_AMT,0.15,600
198,CG,0.06,600
199,Relevant_D,0.39,600
200,total_fy_amount,0.34,600
201,medicare,0.06,590
202,TAX_OFSTS_TOTL_AMT,0.18,590
203,CG,0.03,590
204,Relevant_D,0.37,590
205,total_fy_amount,0.37,590
206,medicare,0.05,580
207,TAX_OFSTS_TOTL_AMT,0.2,580
208,CG,0.05,580
209,Relevant_D,0.34,580
210,total_fy_amount,0.36,580
211,medicare,0.05,570
212,TAX_OFSTS_TOTL_AMT,0.21,570
213,CG,0.05,570
214,Relevant_D,0.34,570
215,total_fy_amount,0.35,570
216,medicare,0.04,560
217,TAX_OFSTS_TOTL_AMT,0.23,560
218,CG,0.06,560
219,Relevant_D,0.31,560
220,total_fy_amount,0.36,560
221,medicare,0.04,550
222,TAX_OFSTS_TOTL_AMT,0.22,550
223,CG,0.06,550
224,Relevant_D,0.33,550
225,total_fy_amount,0.35,550
226,medicare,0.06,540
227,TAX_OFSTS_TOTL_AMT,0.14,540
228,CG,0.06,540
229,Relevant_D,0.31,540
230,total_fy_amount,0.44,540
231,medicare,0.04,530
232,TAX_OFSTS_TOTL_AMT,0.31,530
233,CG,0.03,530
234,Relevant_D,0.26,530
235,total_fy_amount,0.37,530
236,medicare,0.03,520
237,TAX_OFSTS_TOTL_AMT,0.33,520
238,CG,0.04,520
239,Relevant_D,0.23,520
240,total_fy_amount,0.36,520
241,medicare,0.04,510
242,TAX_OFSTS_TOTL_AMT,0.34,510
243,CG,0.02,510
244,Relevant_D,0.24,510
245,total_fy_amount,0.36,510
246,medicare,0.05,500
247,TAX_OFSTS_TOTL_AMT,0.36,500
248,CG,0.03,500
249,Relevant_D,0.22,500
250,total_fy_amount,0.33,500
251,medicare,0.04,490
252,TAX_OFSTS_TOTL_AMT,0.39,490
253,CG,0.02,490
254,Relevant_D,0.22,490
255,total_fy_amount,0.33,490
256,medicare,0.05,480
257,TAX_OFSTS_TOTL_AMT,0.41,480
258,CG,0,480
259,Relevant_D,0.19,480
260,total_fy_amount,0.34,480
261,medicare,0.14,470
262,TAX_OFSTS_TOTL_AMT,0.63,470
263,CG,0.01,470
264,Relevant_D,0.1,470
265,total_fy_amount,0.12,470
266,medicare,0.11,460
267,TAX_OFSTS_TOTL_AMT,0.33,460
268,CG,0.02,460
269,Relevant_D,0.2,460
270,total_fy_amount,0.34,460
271,medicare,0.08,450
272,TAX_OFSTS_TOTL_AMT,0.48,450
273,CG,0.04,450
274,Relevant_D,0.16,450
275,total_fy_amount,0.25,450
276,medicare,0.07,440
277,TAX_OFSTS_TOTL_AMT,0.51,440
278,CG,0,440
279,Relevant_D,0.16,440
280,total_fy_amount,0.25,440
281,medicare,0.05,430
282,TAX_OFSTS_TOTL_AMT,0.55,430
283,CG,0.01,430
284,Relevant_D,0.15,430
285,total_fy_amount,0.25,430
286,medicare,0.08,420
287,TAX_OFSTS_TOTL_AMT,0.57,420
288,CG,0.01,420
289,Relevant_D,0.13,420
290,total_fy_amount,0.21,420
291,medicare,0.09,410
292,TAX_OFSTS_TOTL_AMT,0.53,410
293,CG,0.02,410
294,Relevant_D,0.15,410
295,total_fy_amount,0.21,410
296,medicare,0.1,400
297,TAX_OFSTS_TOTL_AMT,0.58,400
298,CG,0.01,400
299,Relevant_D,0.13,400
300,total_fy_amount,0.19,400
301,medicare,0.21,390
302,TAX_OFSTS_TOTL_AMT,0.38,390
303,CG,0.01,390
304,Relevant_D,0.19,390
305,total_fy_amount,0.21,390
306,medicare,0.12,380
307,TAX_OFSTS_TOTL_AMT,0.57,380
308,CG,0,380
309,Relevant_D,0.14,380
310,total_fy_amount,0.16,380
311,medicare,0.12,370
312,TAX_OFSTS_TOTL_AMT,0.46,370
313,CG,0.12,370
314,Relevant_D,0.15,370
315,total_fy_amount,0.14,370
316,medicare,0.11,360
317,TAX_OFSTS_TOTL_AMT,0.63,360
318,CG,0.01,360
319,Relevant_D,0.13,360
320,total_fy_amount,0.13,360
321,medicare,0.08,350
322,TAX_OFSTS_TOTL_AMT,0.49,350
323,CG,0,350
324,Relevant_D,0.02,350
325,total_fy_amount,0.4,350
326,medicare,0.08,340
327,TAX_OFSTS_TOTL_AMT,0.57,340
328,CG,0.01,340
329,Relevant_D,0.22,340
330,total_fy_amount,0.12,340
331,medicare,0.09,330
332,TAX_OFSTS_TOTL_AMT,0.58,330
333,CG,0.02,330
334,Relevant_D,0.2,330
335,total_fy_amount,0.1,330
336,medicare,0.24,320
337,TAX_OFSTS_TOTL_AMT,0.46,320
338,CG,0,320
339,Relevant_D,0.22,320
340,total_fy_amount,0.07,320
341,medicare,0.3,310
342,TAX_OFSTS_TOTL_AMT,0.41,310
343,CG,0.01,310
344,Relevant_D,0.21,310
345,total_fy_amount,0.07,310
346,medicare,0.44,300
347,TAX_OFSTS_TOTL_AMT,0.29,300
348,CG,0.01,300
349,Relevant_D,0.2,300
350,total_fy_amount,0.06,300
351,medicare,0.26,290
352,TAX_OFSTS_TOTL_AMT,0.53,290
353,CG,0,290
354,Relevant_D,0.04,290
355,total_fy_amount,0.17,290
356,medicare,0.79,280
357,TAX_OFSTS_TOTL_AMT,0.04,280
358,CG,0.01,280
359,Relevant_D,0.13,280
360,total_fy_amount,0.03,280
361,medicare,0.79,270
362,TAX_OFSTS_TOTL_AMT,0.12,270
363,CG,0,270
364,Relevant_D,0.07,270
365,total_fy_amount,0.01,270
366,medicare,0.29,260
367,TAX_OFSTS_TOTL_AMT,0.53,260
368,CG,0.01,260
369,Relevant_D,0.17,260
370,total_fy_amount,0,260
371,medicare,0.73,250
372,TAX_OFSTS_TOTL_AMT,0.26,250
373,CG,0.01,250
374,Relevant_D,0.01,250
375,total_fy_amount,0,250
376,medicare,0.65,240
377,TAX_OFSTS_TOTL_AMT,0.34,240
378,CG,0,240
379,Relevant_D,0.01,240
380,total_fy_amount,0,240
381,medicare,0.36,230
382,TAX_OFSTS_TOTL_AMT,0.55,230
383,CG,0,230
384,Relevant_D,0.08,230
385,total_fy_amount,0,230
386,medicare,0.65,220
387,TAX_OFSTS_TOTL_AMT,0.28,220
388,CG,0,220
389,Relevant_D,0.07,220
390,total_fy_amount,0,220
391,medicare,0.6,210
392,TAX_OFSTS_TOTL_AMT,0.32,210
393,CG,0,210
394,Relevant_D,0.08,210
395,total_fy_amount,0,210
396,medicare,0.04,200
397,TAX_OFSTS_TOTL_AMT,0.78,200
398,CG,0.01,200
399,Relevant_D,0.17,200
400,total_fy_amount,0,200
