Table A1C.2 - The detailed classification of the COFOG-A,,,,,
Descriptor,COFOG-A,Type,Classification,Class_name,Notes
Health not elsewhere classified,079,5,,,
Health not elsewhere classified,0799,5,,,
"RECREATION, CULTURE AND RELIGION",08,,,,
Recreational and sporting services,081,4,,,
Recreational and sporting services,0811,4,,,
Cultural services,082,4,,,
Film production services,0821,4,,,
Cultural services not elsewhere classified,0829,4,,,
Broadcasting and publishing services,083,4,,,
Broadcasting services,0831,4,,,
Publishing services,0832,4,,,
Religious and other community services,084,4,,,
Religious and other community services,0841,4,,,
"Research and development - recreation, culture and religion",085,2,,,
"Research and development - recreation, culture and religion",0851,2,,,
"Recreation, culture and religion not elsewhere classified",089,4,,,
Community centres and halls,0891,4,,,
"Recreation, culture and religion not elsewhere classified",0899,5,,,
EDUCATION,09,,,,
Pre-primary and primary education,091,4,,,
Government pre-primary education,0911,4,,,
Non-government pre-primary education,0912,4,,,
Government primary education,0913,4,,,
Non-government primary education,0914,4,,,
Secondary education,092,4,,,
Government secondary education,0921,4,,,
Non-government secondary education,0922,4,,,
Tertiary education,093,4,,,
University education,0931,4,,,
Vocational education and training (excluding apprenticeships and traineeships),0932,4,,,
Education not definable by level,094,4,,,
Apprenticeships and traineeships,0941,4,,,
Education not definable by level not elsewhere classified,0949,4,,,
Subsidiary services to education,095,4,,,
Transportation of non-urban school students,0951,4,,,
Transportation of other students,0952,4,,,
Subsidiary services to education not elsewhere classified,0959,4,,,
Research and development - education,096,2,,,
Research and development - education,0961,2,,,
Education not elsewhere classified,099,4,,,
Special education,0991,4,,,
Education not elsewhere classified,0999,5,,,
SOCIAL PROTECTION,10,,,,
Sickness and disability,100,3,,,
Sickness,1001,3,,,
Disability,1002,3,,,
Old age,101,3,,,
Old age,1011,3,,,
Survivors,102,3,,,
Survivors,1021,3,,,
Family and children,103,3,,,
Family and children,1031,3,,,
Unemployment,104,3,,,
Unemployment,1041,3,,,
Housing,105,3,,,
Housing,1051,3,,,
Social exclusion not elsewhere classified,106,3,,,
Social exclusion not elsewhere classified,1069,3,,,
Research and development - social protection,107,2,,,
Research and development - social protection,1071,2,,,
Social protection not elsewhere classified,109,3,,,
Natural disaster relief,1091,3,,,
Social protection not elsewhere classified,1099,3,,,
TRANSPORT,11,,,,
Road transport,111,2,,,
Road maintenance,1111,2,,,
Road rehabilitation,1112,2,,,
Road construction,1113,2,,,
Road transport not elsewhere classified,1119,2,,,
Bus transport,112,2,,,
Urban bus transport,1121,2,,,
Non-urban bus transport,1122,2,,,
Water transport,113,2,,,
Urban water transport passenger services,1131,2,,,
Urban water transport freight services,1132,2,,,
Non-urban water transport services,1133,2,,,
Railway transport,114,2,,,
Urban railway transport services,1141,2,,,
Non-urban railway transport freight services,1142,2,,,
Non-urban railway transport passenger services,1143,2,,,
Air transport,115,2,,,
Air transport,1151,2,,,
Multi-mode urban transport,116,2,,,
Multi-mode urban transport,1161,2,,,
Pipeline and other transport,117,2,,,
Pipeline and other transport,1171,2,,,
Research and development - transport,118,2,,,
Research and development - transport,1181,2,,,
Transport not elsewhere classified,119,2,,,
Transport not elsewhere classified,1199,2,,,
