cluster,year,avg,p25,p75
3,2007,1.56207610263294,1.52899077732603,1.58594263940578
4,2007,1.87447788095514,1.66388208027357,2.00496262873404
5,2007,1.89490968801314,1.89490968801314,1.89490968801314
1,2008,1.77336411894081,1.71111391052641,1.94824013589418
2,2008,2.10232908404754,1.93763459523431,2.26030464969336
3,2008,1.68297239933181,1.65010267351219,1.73358598114416
4,2008,2.037645325607,1.77344939764758,2.2156076518687
5,2008,1.83579638752053,1.83579638752053,1.83579638752053
1,2009,1.99215304455839,1.82850671551905,2.24520646678367
2,2009,2.51916614627335,2.23147710826127,2.66359173909507
3,2009,1.95594651345833,1.8150654102617,2.02737993665598
4,2009,2.27570732559625,1.97073244909565,2.48805539868108
5,2009,2.60207991242474,2.60207991242474,2.60207991242474
1,2010,2.0997208190458,2.01164123664209,2.29565385961558
2,2010,2.74849457631472,2.18221323011085,3.1214820219524
3,2010,1.90703542041519,1.82214647188318,1.98402354185648
4,2010,2.47964146894074,2.11588863036507,2.73079703895093
5,2010,3.53530377668309,3.53530377668309,3.53530377668309
1,2011,2.17367459699737,2.08848323078779,2.31244534004741
2,2011,2.99775221046642,2.35227047090126,3.41097870940042
3,2011,1.91668931615993,1.85914807442542,1.97403096521281
4,2011,2.75281906832359,2.27819258804548,2.92025134938661
5,2011,2.30049261083744,2.30049261083744,2.30049261083744
1,2012,2.2828467161277,2.11309740898503,2.48985412219772
2,2012,3.1073586995097,2.51193604994228,3.48997505713856
3,2012,2.16323340818553,2.14454862804824,2.18706176507258
4,2012,2.94391860555653,2.32870832364951,3.11220061508602
5,2012,2.19266557197592,2.19266557197592,2.19266557197592
1,2013,2.35570968187626,2.18064128084486,2.57638174109933
2,2013,3.09929908173029,2.62929426813932,3.3950903548789
3,2013,2.22957568200166,2.19199803135129,2.28498538859928
4,2013,3.04098560386439,2.42784607020789,3.08733857571646
5,2013,2.24028461959496,2.24028461959496,2.24028461959496
1,2014,2.46075889641963,2.23574419759273,2.69151252402797
2,2014,3.19924146868948,2.73939083739546,3.46978739988462
3,2014,2.33833823083805,2.27837933141478,2.40911216070041
4,2014,3.16030537685729,2.52219026007158,3.22201937954693
5,2014,2.26765188834154,2.26765188834154,2.26765188834154
1,2015,2.57188641530726,2.29903242944774,2.87275671112579
2,2015,3.24947298966903,2.87065136861063,3.47940633489725
3,2015,2.41500085664688,2.34130926270687,2.46272194695628
4,2015,3.06572884301665,2.63870429385397,3.27375127353455
5,2015,2.25779967159278,2.25779967159278,2.25779967159278
1,2016,2.6646103690437,2.23310712993123,3.08264043374217
2,2016,3.29659423707745,2.99961856673106,3.51741104065555
3,2016,2.42886934760569,2.33602201769796,2.51330005787306
4,2016,3.24745774262149,2.75013819765537,3.54665072775947
5,2016,2.28954570333881,2.28954570333881,2.28954570333881
1,2017,2.78937838445547,2.29156145308425,3.25635752990698
2,2017,3.40054297704342,3.08099067701888,3.66140501674623
3,2017,2.417976385256,2.33684398419197,2.47888689258871
4,2017,3.46058223155293,2.85259639674927,3.87691527817133
5,2017,2.46195949644226,2.46195949644226,2.46195949644226
1,2018,2.95999101352998,2.46546407657971,3.52874212334556
2,2018,3.47196378325123,3.15711544783517,3.79144961188472
3,2018,2.40905484605866,2.34572512623085,2.47376281071287
4,2018,3.64549786006043,2.94895999752961,3.93867146850337
5,2018,2.48713738368911,2.48713738368911,2.48713738368911
1,2019,3.15610158932721,2.65377922083948,3.81636921117492
2,2019,3.68601602178463,3.39550996964746,4.01116970196828
3,2019,2.44402139662953,2.42461279995357,2.47265195452303
4,2019,3.79772178259648,3.05871656912411,4.10963141682381
5,2019,2.30870279146141,2.30870279146141,2.30870279146141
1,2020,3.44114765448181,2.81437609621649,4.28697196812162
2,2020,4.04373207829522,3.67217216014022,4.42471229067118
3,2020,4.74138603860505,3.75694627946921,5.70636190645321
4,2020,4.08386603499941,3.28855182622093,4.37190188252149
5,2020,2.17077175697865,2.17077175697865,2.17077175697865
1,2021,3.68904845542448,3.18318026314368,4.51774631627514
2,2021,4.50499845985337,3.9465861343751,4.99033233544934
3,2021,6.31089251460009,4.79935502239557,8.12060156026523
4,2021,4.33524006987916,3.41048287844857,4.79840492086174
5,2021,2.94471811713191,2.94471811713191,2.94471811713191
1,2022,4.03881953244613,3.42981111916723,4.94643364622898
2,2022,4.67271906310984,4.02263332187588,5.27679513009784
3,2022,4.8026888007274,4.15749358223454,5.3575582474733
4,2022,4.60857483021086,3.38141136428339,5.35852225101445
5,2022,2.84729064039409,2.84729064039409,2.84729064039409
1,2023,4.27600345282578,3.49180911680912,5.05677657837315
2,2023,4.86034770058408,4.32118912119126,5.40607273197848
3,2023,3.41358188518057,3.34764195182951,3.48887932127735
4,2023,4.93986917908033,3.5617692448684,5.64419931127302
5,2023,2.30979748221128,2.30979748221128,2.30979748221128
1,2024,4.67596273842254,3.74422914520634,5.44165647874074
2,2024,5.04088101419151,4.77446960668205,5.38271915908255
3,2024,3.56191374314797,3.49768631032243,3.61037989115981
4,2024,5.12904974533012,3.97573426376195,5.82916828876424
5,2024,2.50410509031199,2.50410509031199,2.50410509031199
