J1 MARKET ECONOMISTS' FORECASTS,,,,,,
Title,Target quarter,Terms of trade forecasts – median,Terms of trade forecasts – mean,Terms of trade forecasts – low,Terms of trade forecasts – high,Terms of trade forecasts – number of responses
1/8/2012,Dec-12,-6.8,-6.8,-11.2,-2,11
1/8/2012,Jun-13,-1.2,-2.3,-7.3,6.4,11
1/8/2012,Dec-13,-3.3,-1,-8.7,16.8,11
1/8/2012,Jun-14,-3,-2.3,-4.6,1.1,8
1/8/2012,Dec-14,-3.6,-3.4,-6,0,8
1/11/2012,Dec-12,-11,-10.6,-15.5,-4.3,14
1/11/2012,Jun-13,-4.8,-5.8,-11.6,-0.6,14
1/11/2012,Dec-13,-1.4,0.4,-5.3,13.5,14
1/11/2012,Jun-14,-1.2,-1.3,-6,2.6,12
1/11/2012,Dec-14,-2.3,-2.3,-7.9,2.8,12
1/2/2013,Dec-12,-11.2,-11.2,-14,-5,14
1/2/2013,Jun-13,-4.5,-5.1,-13.3,0,14
1/2/2013,Dec-13,-0.7,-0.8,-7.1,4,14
1/2/2013,Jun-14,-2.1,-2.2,-9,2.6,13
1/2/2013,Dec-14,-2.1,-1.7,-7,2.8,13
1/2/2013,Jun-15,-1,-1.4,-6.7,3,8
1/5/2013,Jun-13,-5.5,-5.4,-10.7,2,15
1/5/2013,Dec-13,0,0,-7.7,4.7,15
1/5/2013,Jun-14,-2.4,-2.1,-9.3,3,15
1/5/2013,Dec-14,0.4,-1.1,-10.3,5,15
1/5/2013,Jun-15,-1.4,-1.9,-10.1,2,10
1/8/2013,Jun-13,-5.7,-5.9,-10.4,-2.7,13
1/8/2013,Dec-13,-1.4,-1.1,-5.1,3,14
1/8/2013,Jun-14,-3.8,-3.9,-8,0.4,14
1/8/2013,Dec-14,-1.8,-2.3,-10.8,1.5,14
1/8/2013,Jun-15,-2.5,-2.2,-10.1,2.3,9
1/8/2013,Dec-15,-2.9,-2,-7.2,2.3,9
1/11/2013,Dec-13,1,1.2,-2,5.3,13
1/11/2013,Jun-14,-2.5,-2.9,-8,1,13
1/11/2013,Dec-14,-4.1,-3.9,-10.8,1.1,13
1/11/2013,Jun-15,-1.9,-2.7,-10.1,2,10
1/11/2013,Dec-15,-2.2,-2.2,-7.2,2,10
1/2/2014,Dec-13,-2.2,-2.1,-3.7,1,12
1/2/2014,Jun-14,-5.7,-5.5,-8,-2,15
1/2/2014,Dec-14,-4.1,-3.9,-8.9,0.7,15
1/2/2014,Jun-15,-2.2,-2.4,-9.2,0.8,13
1/2/2014,Dec-15,-1.9,-1.1,-5.3,7,12
1/2/2014,Jun-16,-0.6,0.1,-3,8,8
1/5/2014,Jun-14,-4.5,-4.7,-8,-2.8,13
1/5/2014,Dec-14,-3.5,-4.2,-8,-1.3,13
1/5/2014,Jun-15,-2.6,-2.5,-8.7,0.9,12
1/5/2014,Dec-15,-2,-1,-4.8,8,12
1/5/2014,Jun-16,-1.2,-0.3,-3.5,7,9
1/8/2014,Jun-14,-7.1,-6.7,-9.6,-3.4,14
1/8/2014,Dec-14,-4.7,-5.7,-12.2,-1.5,14
1/8/2014,Jun-15,-2.6,-2.4,-8.7,3.9,14
1/8/2014,Dec-15,-1.3,-1.7,-4.9,3,14
1/8/2014,Jun-16,-2.3,-1,-3.8,2.5,11
1/8/2014,Dec-16,-1.1,-1.1,-2.5,2,11
1/11/2014,Dec-14,-8.3,-8.9,-13.2,-6,12
1/11/2014,Jun-15,-3.1,-3.1,-7.7,4,12
1/11/2014,Dec-15,-1.2,-0.1,-3.8,9,12
1/11/2014,Jun-16,-0.5,0.1,-2.4,5,9
1/11/2014,Dec-16,-0.1,-0.5,-2.6,1.8,9
1/2/2015,Dec-14,-10.7,-10.9,-14.1,-9,11
1/2/2015,Jun-15,-8.4,-7.8,-12.5,-1.2,12
1/2/2015,Dec-15,-2.2,-3.1,-6.7,3,12
1/2/2015,Jun-16,-0.5,-0.3,-3.6,4.2,12
1/2/2015,Dec-16,0.3,0.5,-2.2,5.8,12
1/2/2015,Jun-17,0.5,1.1,-2.3,7.2,7
1/5/2015,Jun-15,-9.8,-9.4,-13.4,-2.4,16
1/5/2015,Dec-15,-6.7,-6.4,-14,1,16
1/5/2015,Jun-16,-2.2,-1.6,-15,4,16
1/5/2015,Dec-16,-0.3,-0.5,-13,5.7,16
1/5/2015,Jun-17,0.1,1,-5,6.8,10
1/8/2015,Jun-15,-11,-10.2,-12.5,-5.1,12
1/8/2015,Dec-15,-8,-8,-11,-4.1,14
1/8/2015,Jun-16,-0.3,-1.2,-5.6,2.6,14
1/8/2015,Dec-16,-0.8,-0.1,-3,3.8,14
1/8/2015,Jun-17,1.2,0.9,-5,6,11
1/8/2015,Dec-17,2.7,2.5,-3.9,12,10
1/11/2015,Dec-15,-9,-8.7,-11.3,-5.6,12
1/11/2015,Jun-16,-3.6,-3,-5.8,1.1,12
1/11/2015,Dec-16,-0.4,-0.7,-4.7,1.8,12
1/11/2015,Jun-17,1.2,0.9,-3.6,4.2,12
1/11/2015,Dec-17,2.8,2.3,-3.4,11,11
1/2/2016,Dec-15,-11.8,-11.7,-15.6,-8.3,12
1/2/2016,Jun-16,-7.6,-7.5,-16.3,0.1,13
1/2/2016,Dec-16,-2.1,-2.9,-9.9,0,12
1/2/2016,Jun-17,0,0.2,-2.2,3,13
1/2/2016,Dec-17,1.6,0.8,-3.4,5,12
1/2/2016,Jun-18,1,1.9,-3,11,8
1/5/2016,Jun-16,-5.8,-5.5,-12,2.9,12
1/5/2016,Dec-16,-1.5,-1.4,-7,5.3,12
1/5/2016,Jun-17,-1.8,-2.1,-6,2.2,12
1/5/2016,Dec-17,-0.4,-0.4,-5.1,4.1,12
1/5/2016,Jun-18,1.5,1.8,-3.7,10.4,7
1/8/2016,Jun-16,-5.8,-5.3,-6.4,0,13
1/8/2016,Dec-16,-0.8,-1,-5,5,14
1/8/2016,Jun-17,-0.1,-0.8,-6,3.5,14
1/8/2016,Dec-17,0.9,0.4,-5,4,14
1/8/2016,Jun-18,0.4,1.1,-3,8,9
1/8/2016,Dec-18,0,1.4,-2.5,13,9
1/11/2016,Dec-16,5.3,5.9,-2.6,21.3,15
1/11/2016,Jun-17,2.2,2.1,-5,14.8,16
1/11/2016,Dec-17,-2.3,-3.4,-14.9,2,16
1/11/2016,Jun-18,-0.6,-1,-7.3,6,13
1/11/2016,Dec-18,0,0.3,-5.8,8.5,12
1/2/2017,Dec-16,12.1,11.1,-0.7,23.6,15
1/2/2017,Jun-17,13.2,12.3,-3.5,29,16
1/2/2017,Dec-17,-4,-1,-8.1,17.1,16
1/2/2017,Jun-18,-3.1,-4,-9.9,2,15
1/2/2017,Dec-18,-2.2,-3.6,-13.2,2,15
1/2/2017,Jun-19,-2,-3.1,-12.1,1.5,8
1/5/2017,Jun-17,18,18.4,11.6,25.9,15
1/5/2017,Dec-17,-3.5,0.2,-10,15.3,15
1/5/2017,Jun-18,-7.4,-6.5,-20,2,14
1/5/2017,Dec-18,-4.9,-4,-11,2,14
1/5/2017,Jun-19,-2,-1.2,-3.8,2,7
1/8/2017,Jun-17,16.1,15.5,3.2,22,14
1/8/2017,Dec-17,-2.3,-2.2,-8.7,3.9,16
1/8/2017,Jun-18,-4.7,-3.8,-12,3.6,16
1/8/2017,Dec-18,-1,-1.7,-13,3.7,16
1/8/2017,Jun-19,-0.2,-0.6,-5,3.9,11
1/8/2017,Dec-19,0,-0.2,-5,4.1,11
1/11/2017,Dec-17,-0.3,-0.1,-6,11.1,12
1/11/2017,Jun-18,-4.4,-2.9,-6.9,3,13
1/11/2017,Dec-18,-5,-4.5,-9,1,12
1/11/2017,Jun-19,-2.4,-3.6,-13,1.5,9
1/11/2017,Dec-19,-2.2,-2.2,-5.8,2.3,7
1/2/2018,Dec-17,-1.3,0.7,-2.3,13,16
1/2/2018,Jun-18,-0.6,-0.4,-8.2,6,17
1/2/2018,Dec-18,-2.5,-2.7,-11.1,4,17
1/2/2018,Jun-19,-2.8,-3.3,-9.1,3,16
1/2/2018,Dec-19,-0.8,-0.8,-6.5,8,16
1/2/2018,Jun-20,-2,-1.9,-8.3,5,10
1/5/2018,Jun-18,0.6,0.4,-7.3,6,14
1/5/2018,Dec-18,-0.9,-1.1,-6.2,4,15
1/5/2018,Jun-19,-1.6,-1.6,-8.5,4,15
1/5/2018,Dec-19,-1,-1.4,-7.5,4.1,15
1/5/2018,Jun-20,0.7,-0.9,-7,2,8
1/8/2018,Jun-18,2.3,2.6,0.1,12,13
1/8/2018,Dec-18,-1,-0.3,-3.6,6,15
1/8/2018,Jun-19,-4.3,-2.6,-7,7.7,15
1/8/2018,Dec-19,-2,-1.9,-7.7,4.4,15
1/8/2018,Jun-20,-1.2,-1.6,-7.7,2.6,11
1/8/2018,Dec-20,-0.5,-1.1,-7.7,4,10
1/11/2018,Dec-18,3.5,3.1,0.2,6,15
1/11/2018,Jun-19,-0.1,0,-4.3,4,15
1/11/2018,Dec-19,-2.7,-2.5,-9.5,4.1,15
1/11/2018,Jun-20,-2.6,-1.9,-7.2,3.6,11
1/11/2018,Dec-20,-0.4,-1.5,-7.2,2.4,10
1/2/2019,Dec-18,3.8,3.4,-0.4,6.8,15
1/2/2019,Jun-19,0.2,0.1,-7.9,4.3,16
1/2/2019,Dec-19,-2,-2.2,-8,4.1,16
1/2/2019,Jun-20,-0.6,-1.5,-6,2,15
1/2/2019,Dec-20,-0.7,-1.5,-7,2,14
1/2/2019,Jun-21,-0.6,-2,-12,2,7
1/5/2019,Jun-19,4.7,4.6,-5.7,10.5,17
1/5/2019,Dec-19,-0.1,0.9,-4,7,17
1/5/2019,Jun-20,-2.5,-2.6,-7.5,2,16
1/5/2019,Dec-20,-1,-2.2,-11,2,16
1/5/2019,Jun-21,-0.4,-1,-7,2,12
1/8/2019,Jun-19,8.8,8.1,0.6,12.2,17
1/8/2019,Dec-19,1.6,1.8,-8,7.3,17
1/8/2019,Jun-20,-3.6,-3.6,-12.2,2,17
1/8/2019,Dec-20,-2.9,-3.6,-15,2,16
1/8/2019,Jun-21,-0.8,-2.2,-8,2,9
1/8/2019,Dec-21,-1.2,-1.3,-5,2,8
1/11/2019,Dec-19,2.2,2.2,-8,6.4,17
1/11/2019,Jun-20,-4.6,-4.1,-12,1.5,17
1/11/2019,Dec-20,-3.9,-3.7,-15,2,17
1/11/2019,Jun-21,-2.1,-2.4,-8,2,14
1/11/2019,Dec-21,-0.5,-1,-6,2,13
1/2/2020,Dec-19,0.7,0.9,-8,6.2,16
1/2/2020,Jun-20,-5.8,-5,-12,1.5,17
1/2/2020,Dec-20,-3.9,-3.8,-15,3,17
1/2/2020,Jun-21,-2,-2.4,-8,2,17
1/2/2020,Dec-21,0,-0.6,-5,2,17
1/2/2020,Jun-22,0.5,-0.5,-5,2,9
1/5/2020,Jun-20,-8.6,-5.7,-13.2,11,13
1/5/2020,Dec-20,-7,-5.9,-15,3.2,13
1/5/2020,Jun-21,-2.2,-2.9,-13,5,13
1/5/2020,Dec-21,-2,-0.8,-9.3,5.7,13
1/5/2020,Jun-22,0.1,-0.2,-5,2.6,8
1/8/2020,Jun-20,-1.4,-1,-8.5,11,13
1/8/2020,Dec-20,1.1,0.4,-15,11.6,13
1/8/2020,Jun-21,-1.9,-2.5,-11.9,3.1,13
1/8/2020,Dec-21,0.5,-1.1,-9.5,2.1,13
1/8/2020,Jun-22,-0.1,-0.4,-5,2,10
1/8/2020,Dec-22,0.5,0.6,-2.5,4,9
1/11/2020,Dec-20,1.5,1.4,-5,6,15
1/11/2020,Jun-21,-0.2,-1.6,-9.5,5.6,15
1/11/2020,Dec-21,0.2,-2.1,-15,4,15
1/11/2020,Jun-22,-0.2,-0.8,-5,2,12
1/11/2020,Dec-22,0.3,0.5,-4,4,11
1/2/2021,Dec-20,6.1,5.5,-0.4,12,13
1/2/2021,Jun-21,2,2.8,-8,12.1,14
1/2/2021,Dec-21,-0.3,-1.4,-11.2,5.6,14
1/2/2021,Jun-22,-1.4,-2.1,-10,2,12
1/2/2021,Dec-22,0.2,-0.7,-6.1,2,12
1/2/2021,Jun-23,1.4,1.5,-3.6,7,8
1/5/2021,Jun-21,9.9,9.9,2.3,16.5,14
1/5/2021,Dec-21,0.2,0.2,-10.3,9.7,14
1/5/2021,Jun-22,-3.1,-3.6,-12.2,2,14
1/5/2021,Dec-22,-2.5,-2.4,-5.9,2,14
1/5/2021,Jun-23,-1,-1.2,-5.7,2,10
1/8/2021,Jun-21,14.9,14.9,-3.6,25.1,12
1/8/2021,Dec-21,7.2,4,-10.3,14.8,13
1/8/2021,Jun-22,-5,-5.5,-21.5,18,12
1/8/2021,Dec-22,-2.7,-1.8,-8,6.5,12
1/8/2021,Jun-23,-1,-2.6,-9.5,2,9
1/8/2021,Dec-23,-0.5,-1.3,-10.9,6,8
1/11/2021,Dec-21,13.6,12.3,-6,23.4,13
1/11/2021,Jun-22,-5.6,-6,-15,3.2,13
1/11/2021,Dec-22,-4.2,-6.8,-23.7,2,13
1/11/2021,Jun-23,-1.5,-4.3,-14.2,3.2,12
1/11/2021,Dec-23,-0.5,-1.2,-9.8,6,11
1/2/2022,Dec-21,14.5,14,4,20.3,12
1/2/2022,Jun-22,-5.5,-5.1,-12.9,2.2,12
1/2/2022,Dec-22,-8,-8.4,-20.3,2,12
1/2/2022,Jun-23,-7.6,-6,-12.7,2,12
1/2/2022,Dec-23,-3.5,-3.3,-9.8,2,11
1/2/2022,Jun-24,-1.5,-1.5,-6.2,2,6
1/5/2022,Jun-22,0.9,2.3,-8.9,15.8,12
1/5/2022,Dec-22,2,-0.3,-20,12.4,13
1/5/2022,Jun-23,-8,-9.7,-21.8,2,13
1/5/2022,Dec-23,-7.3,-7.5,-19.9,2,13
1/5/2022,Jun-24,-2,-4.9,-15.6,2,9
1/8/2022,Jun-22,3.5,2.1,-8.9,16,13
1/8/2022,Dec-22,-1,-0.6,-8.4,11.8,14
1/8/2022,Jun-23,-8.8,-8,-17.5,2.1,14
1/8/2022,Dec-23,-7.2,-6.7,-13.1,0.2,14
1/8/2022,Jun-24,-2.7,-3.7,-11,0.9,10
1/8/2022,Dec-24,-1.2,-2.4,-9,0.9,10
1/11/2022,Dec-22,3.8,2,-15.2,14,14
1/11/2022,Jun-23,-10,-10.9,-19.5,-5.6,13
1/11/2022,Dec-23,-5.1,-6.3,-15.4,-0.5,13
1/11/2022,Jun-24,-3.9,-4.7,-15.1,4.7,12
1/11/2022,Dec-24,0.1,-1.4,-10,5.7,11
1/2/2023,Dec-22,3.5,3,-8,9.4,13
1/2/2023,Jun-23,-9.9,-9.2,-16,1.5,14
1/2/2023,Dec-23,-5,-5,-13.7,0.3,13
1/2/2023,Jun-24,-4.7,-3.8,-12.4,7.8,13
1/2/2023,Dec-24,-2.4,-2.2,-10.6,5.9,12
1/2/2023,Jun-25,-1.1,-3.3,-11.8,0.7,4
1/5/2023,Jun-23,-7.5,-7.1,-11.2,-3,13
1/5/2023,Dec-23,-6,-5.2,-8.3,1.7,12
1/5/2023,Jun-24,-4.6,-4.3,-12.4,5.8,12
1/5/2023,Dec-24,-1.9,-1.8,-6.7,3.7,11
1/5/2023,Jun-25,-0.3,-0.4,-3.9,4.4,8
1/8/2023,Jun-23,-6.7,-6.8,-13,-3.2,12
1/8/2023,Dec-23,-2.8,-2.8,-8.9,4.1,12
1/8/2023,Jun-24,-3.5,-3.7,-9.5,1.3,12
1/8/2023,Dec-24,-0.3,-1.3,-12.2,4.7,12
1/8/2023,Jun-25,-0.1,-0.2,-5.2,3.8,9
1/8/2023,Dec-25,0.2,-0.3,-3.6,2.1,8
1/11/2023,Dec-23,-8,-7.8,-11.2,-3.5,15
1/11/2023,Jun-24,-3.2,-3.6,-11,2.1,15
1/11/2023,Dec-24,-1.7,-1.2,-7.3,10.5,15
1/11/2023,Jun-25,-1,-0.9,-7.8,7.7,15
1/11/2023,Dec-25,-0.1,-0.6,-7.1,5.1,14
1/2/2024,Dec-23,-5.1,-5.6,-10,-1.5,18
1/2/2024,Jun-24,-2.1,-3.1,-10,-0.7,18
1/2/2024,Dec-24,-3,-2.6,-9.3,9.3,18
1/2/2024,Jun-25,-2.5,-1.7,-6.9,5.5,18
1/2/2024,Dec-25,-1,-0.6,-6.1,5.4,18
1/2/2024,Jun-26,0,0.1,-3.8,5.2,13
1/5/2024,Jun-24,-1.9,-2.4,-9,1.9,21
1/5/2024,Dec-24,-2.8,-3.3,-12,3.7,21
1/5/2024,Jun-25,-2.6,-2.7,-8.6,3.2,21
1/5/2024,Dec-25,-2,-1,-5.9,8.6,21
1/5/2024,Jun-26,-0.6,0.3,-3,9.3,16
1/8/2024,Jun-24,-1.9,-1.9,-5.9,2.8,18
1/8/2024,Dec-24,-3.8,-2.6,-8.8,4.3,19
1/8/2024,Jun-25,-2,-2.4,-8.7,2.6,19
1/8/2024,Dec-25,-1.4,-1.5,-6,4,19
1/8/2024,Jun-26,-1.5,-0.6,-5,6.6,15
1/8/2024,Dec-26,-0.8,-0.6,-4.5,4.7,15
1/11/2024,Dec-24,-5.3,-4.3,-10.1,5.4,19
1/11/2024,Jun-25,-2,-2.2,-8.4,5.7,19
1/11/2024,Dec-25,-1.7,-1.4,-5.8,6.2,19
1/11/2024,Jun-26,-1.1,-0.4,-6.7,13.3,17
1/11/2024,Dec-26,-0.1,-0.7,-7.1,4.7,17
1/2/2025,Dec-24,-6.4,-6.1,-10.1,2.4,18
1/2/2025,Jun-25,-3.5,-3.2,-9.3,3.4,18
1/2/2025,Dec-25,-3,-1.9,-6.8,5.6,18
1/2/2025,Jun-26,-1.2,-1.1,-3.5,3,18
1/2/2025,Dec-26,-0.6,-0.7,-3.4,4,18
1/2/2025,Jun-27,-1,-0.5,-3.5,4,11
1/5/2025,Jun-25,-2.6,-2.8,-8.3,1.5,21
1/5/2025,Dec-25,-2.6,-3.1,-11.3,2.9,21
1/5/2025,Jun-26,-1.6,-1.4,-8,3,21
1/5/2025,Dec-26,-0.4,-0.5,-4,2.4,21
1/5/2025,Jun-27,-0.8,-0.6,-3.7,1.9,14
1/8/2025,Jun-25,-2,-2.4,-6,0.4,19
1/8/2025,Dec-25,-2.2,-2.5,-6.7,3.1,19
1/8/2025,Jun-26,-1.4,-2,-8,5.2,19
1/8/2025,Dec-26,-0.2,-0.4,-4,3,19
1/8/2025,Jun-27,0,-0.1,-2.9,3.7,15
1/8/2025,Dec-27,-0.7,-0.6,-3,2,14
