BenefitMultiplier,LeisureRMultiplier,label,match_elasticity,vacancy_elasticity,delta,risk_aversion,common_search_cost_multiplier,leisure_R_post_multiplier,leisure_N_post_multiplier,benefit_multiplier,benefit_weight,target_pre_N,target_pre_R,target_post_N,target_post_R,mu_pre,mu_post,kappa_pre,kappa_R_post,kappa_N_post,fit_pre_N,fit_pre_R,fit_post_N,fit_post_R,did_full_pp,did_benefit_normal_pp,did_covid_only_pp,did_benefit_covid_env_pp,did_interaction_pp,elasticity_full_logdid,elasticity_benefit_normal_logdid,elasticity_covid_only_logdid,elasticity_benefit_covid_env_logdid,elasticity_ratio_full_to_marginal,observed_did_over_marginal,shock_gap_full_pp,Interpretation,ElasticityInterpretation
2.5,0.8,"benefit=2.5, leisure_R=0.8",0.42,0.5800000000000001,0.01,0.0,1.0,0.8,1.0,2.5,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,1.053409590118255,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031199999989620166,-3.751803772810427,-2.4047195336295846,-2.5251338583492022,-1.226669914461225,1.1780496191683603,-0.9014236973338968,-0.3698199134824665,-0.5409254571227784,-0.36049824021111865,2.5004940296130043,3.0585275864194363,-5.089999980714291,DiD overstates benefit effect,DiD overstates elasticity
2.5,1.0,"benefit=2.5, leisure_R=1.0",0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,2.5,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,1.029524543959672,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.0311999999977644,-3.7518037719960033,-2.4047195336295846,-2.497523431528061,-1.254280340467942,1.1504391931616431,-0.9025259268688587,-0.3698199134824665,-0.5333740497603692,-0.36915187710848946,2.4448634365297206,2.9912003329305916,-5.089999979899868,DiD overstates benefit effect,DiD overstates elasticity
2.5,1.5,"benefit=2.5, leisure_R=1.5",0.42,0.5800000000000001,0.01,0.0,1.0,1.5,1.0,2.5,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,0.9695390669971155,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031199999997284133,-3.7518037720440303,-2.4047195336295846,-2.4223545342654043,-1.329449237778626,1.075270295850959,-0.9064463499799872,-0.3698199134824665,-0.5133457457738997,-0.3931006042060879,2.3058889767179584,2.8220737320613396,-5.089999979947894,DiD overstates benefit effect,DiD overstates elasticity
2.5,2.0,"benefit=2.5, leisure_R=2.0",0.42,0.5800000000000001,0.01,0.0,1.0,2.0,1.0,2.5,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,0.9090980134765049,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031200000008784583,-3.7518037708939858,-2.4047195336295846,-2.3368818696690123,-1.4149219012249734,0.9897976324046116,-0.9125489090127681,-0.3698199134824665,-0.4914472195908826,-0.42110168942188525,2.167051170622403,2.6515977791041676,-5.08999997879785,DiD overstates benefit effect,DiD overstates elasticity
2.5,2.5,"benefit=2.5, leisure_R=2.5",0.42,0.5800000000000001,0.01,0.0,1.0,2.5,1.0,2.5,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,0.8480965240708572,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031200000007529892,-3.7518037710194547,-2.4047195336295846,-2.238651850288843,-1.513151920730611,0.8915676128989738,-0.9217732510398877,-0.3698199134824665,-0.46732318108344356,-0.45445006995644416,2.028326788745424,2.4794627159498512,-5.089999978923319,DiD overstates benefit effect,DiD overstates elasticity
3.0,0.8,"benefit=3.0, leisure_R=0.8",0.42,0.5800000000000001,0.01,0.0,1.0,0.8,1.0,3.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,0.8847716416168699,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031200000007934228,-3.7518037709790204,-3.2888341314633243,-1.8436084732741422,-1.9081952977048784,1.3806388337584474,-0.7638138717103372,-0.4676137745339234,-0.3175796902968603,-0.446234181413477,1.7116883993308292,1.9661529275811445,-5.089999978882885,DiD overstates benefit effect,DiD overstates elasticity
3.0,1.0,"benefit=3.0, leisure_R=1.0",0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,3.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,0.8603478269453207,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031200000007203993,-3.7518037710520438,-3.2888341314633243,-1.7920312584413485,-1.9597725126106957,1.3290616188526294,-0.7670010227605124,-0.4676137745339234,-0.30780989042686624,-0.4591911323336465,1.670330650469122,1.914407793205604,-5.089999978955909,DiD overstates benefit effect,DiD overstates elasticity
3.0,1.5,"benefit=3.0, leisure_R=1.5",0.42,0.5800000000000001,0.01,0.0,1.0,1.5,1.0,3.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,0.7987977320761758,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031200000006038904,-3.751803771168553,-3.2888341314633243,-1.648707269892951,-2.1030965012756018,1.1857376301877238,-0.7776522333640713,-0.4676137745339234,-0.2814595552847243,-0.49619267807934686,1.5672384291807624,1.7839427572120214,-5.0899999790724175,DiD overstates benefit effect,DiD overstates elasticity
3.0,2.0,"benefit=3.0, leisure_R=2.0",0.42,0.5800000000000001,0.01,0.0,1.0,2.0,1.0,3.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,0.7363903122033372,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.03120000000533583,-3.7518037712388606,-3.2888341314633243,-1.4801209825051864,-2.271682788733674,1.017151342729651,-0.7938070377946083,-0.4676137745339234,-0.2518412895002594,-0.5419657482943486,1.464681191187531,1.6515526682888082,-5.089999979142725,DiD overstates benefit effect,DiD overstates elasticity
3.0,2.5,"benefit=3.0, leisure_R=2.5",0.42,0.5800000000000001,0.01,0.0,1.0,2.5,1.0,3.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,0.6728542733066867,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031200000003370764,-3.751803771435368,-3.2888341314633243,-1.278028112714374,-2.473775658720994,0.8150584727423318,-0.8190974419090442,-0.4676137745339234,-0.21808011329420054,-0.6010173286148436,1.3628516232581962,1.5166305635714548,-5.089999979339231,DiD overstates benefit effect,DiD overstates elasticity
3.5,0.8,"benefit=3.5, leisure_R=0.8",0.42,0.5800000000000001,0.01,0.0,1.0,0.8,1.0,3.5,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,0.7111304712095083,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031200000004601477,-3.751803771312296,-4.224206831914077,-0.8671972091465496,-2.884606562165745,1.3396002697483296,-0.7037783674543222,-0.6111661487754565,-0.13587148159628967,-0.5679068858580328,1.2392495759071585,1.3006292852968708,-5.08999997921616,DiD overstates benefit effect,DiD overstates elasticity
3.5,1.0,"benefit=3.5, leisure_R=1.0",0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,3.5,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,0.6856689332356364,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.03120000000367626,-3.751803771404818,-4.224206831914077,-0.7677647991967372,-2.9840389722080802,1.2401678597059957,-0.7129882763406657,-0.6111661487754565,-0.12241728755549565,-0.5905709887851702,1.2072863210014992,1.2572904731966752,-5.089999979308682,DiD overstates benefit effect,DiD overstates elasticity
3.5,1.5,"benefit=3.5, leisure_R=1.5",0.42,0.5800000000000001,0.01,0.0,1.0,1.5,1.0,3.5,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,0.6209407878398149,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.03120000000232234,-3.7518037715402097,-4.224206831914077,-0.4808038079279626,-3.270999963612246,0.9532068683018288,-0.7461920930457127,-0.6111661487754565,-0.08510809438667885,-0.6610839986590336,1.1287402123774217,1.1469898542575951,-5.089999979444074,DiD overstates benefit effect,DiD overstates elasticity
3.5,2.0,"benefit=3.5, leisure_R=2.0",0.42,0.5800000000000001,0.01,0.0,1.0,2.0,1.0,3.5,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,0.5541505761573706,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031200000001233876,-3.751803771649056,-4.224206831914077,-0.11965736320645882,-3.6321464084425976,0.5920604234714779,-0.8079454766608212,-0.6111661487754565,-0.04101573117896003,-0.7669297454818611,1.053480428188621,1.0329439812581138,-5.08999997955292,DiD overstates benefit effect,DiD overstates elasticity
3.5,2.5,"benefit=3.5, leisure_R=2.5",0.42,0.5800000000000001,0.01,0.0,1.0,2.5,1.0,3.5,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,0.48419010889371406,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.03119999997731642,-3.751803774040802,-4.224206831914077,0.35683491570281056,-4.1086386897436125,0.11556814217046354,-1.0002392939573792,-0.6111661487754565,0.01299700548230428,-1.0132362994396833,0.9871727794498761,0.9131500862819655,-5.089999981944666,DiD understates benefit effect,DiD understates elasticity
4.0,0.8,"benefit=4.0, leisure_R=0.8",0.42,0.5800000000000001,0.01,0.0,1.0,0.8,1.0,4.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,0.5266365154817416,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031200000000751783,-3.751803771697265,-5.218949915962239,0.7196379465488991,-4.471441718246164,0.7475081977160731,-0.769229172134352,-0.956453674439801,0.04721585841751746,-0.8164450305518697,0.9421689683313983,0.8390590793988559,-5.08999997960113,DiD understates benefit effect,DiD understates elasticity
4.0,1.0,"benefit=4.0, leisure_R=1.0",0.42,0.5800000000000001,0.01,0.0,1.0,1.0,1.0,4.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,0.4985191316899626,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.03120000000045277,-3.751803771727167,-5.218949915962239,0.9450619393427476,-4.696865711069915,0.5220842048923231,-0.8350468524690903,-0.956453674439801,0.06848128860886744,-0.9035281410779576,0.9242068005461728,0.798788809925871,-5.089999979631031,DiD understates benefit effect,DiD understates elasticity
4.0,1.5,"benefit=4.0, leisure_R=1.5",0.42,0.5800000000000001,0.01,0.0,1.0,1.5,1.0,4.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,0.43101316339477197,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.03120000001176785,-3.7518037705956595,-5.218949915962239,1.4821302082007444,-5.2339339787964025,-0.014984062834165451,-Inf,-0.956453674439801,0.11649054331954317,-Inf,NaN,0.7168229071659834,-5.089999978499523,DiD understates benefit effect,DiD understates elasticity
4.0,2.0,"benefit=4.0, leisure_R=2.0",0.42,0.5800000000000001,0.01,0.0,1.0,2.0,1.0,4.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,0.3678526801747209,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031200000018684643,-3.7518037699039795,-5.218949915962239,1.4940615058169566,-5.245865275720935,-0.02691535975869847,-Inf,-0.956453674439801,0.11752178432162286,-Inf,NaN,0.7151925512208989,-5.089999977807843,DiD understates benefit effect,DiD understates elasticity
4.0,2.5,"benefit=4.0, leisure_R=2.5",0.42,0.5800000000000001,0.01,0.0,1.0,2.5,1.0,4.0,1.0,0.1,0.0866,0.0821,0.0312,0.06266025048197675,0.05813767735625114,0.6208498695508443,0.3054206975814244,0.6208498695508443,0.09999397681810164,0.08661201473906298,0.08209999979676308,0.031199999987142308,-3.751803773058213,-5.218949915962239,1.4940615058169566,-5.245865278875169,-0.026915362912931843,-Inf,-0.956453674439801,0.11752178432162286,-Inf,NaN,0.7151925513921478,-5.0899999809620775,DiD understates benefit effect,DiD understates elasticity
