"country","year","gender","age","nobs_res_1yr_log_chg","p9010_res_1yr_log_chg","p9050_res_1yr_log_chg","p5010_res_1yr_log_chg","kelley_res_1yr_log_chg","crows_res_1yr_log_chg"
"AUS",2004,"All genders","25-34",1913969,1.0332007,0.50490499,0.5282957,-0.022639077,9.4119749
"AUS",2005,"All genders","25-34",1985630,1.0619624,0.53053534,0.53142709,-0.00083971443,9.1147108
"AUS",2006,"All genders","25-34",2029223,1.098068,0.54208493,0.55598307,-0.012656897,9.0472441
"AUS",2007,"All genders","25-34",2091187,1.1037287,0.56120527,0.54252344,0.016926102,8.7950411
"AUS",2008,"All genders","25-34",2168148,1.1154118,0.52550054,0.58991116,-0.057746053,8.9991465
"AUS",2009,"All genders","25-34",2200093,1.0742618,0.4836911,0.59057069,-0.099491201,9.7109823
"AUS",2010,"All genders","25-34",2246449,1.0912688,0.56017166,0.53109711,0.026642887,9.2332592
"AUS",2011,"All genders","25-34",2339169,1.0646245,0.54675901,0.5178656,0.027139531,9.0620966
"AUS",2012,"All genders","25-34",2418078,1.0765638,0.52364445,0.55291939,-0.027192945,9.2519674
"AUS",2013,"All genders","25-34",2469116,1.0715909,0.50810933,0.56348151,-0.051672872,9.5000286
"AUS",2014,"All genders","25-34",2505379,1.0643235,0.51510048,0.54922312,-0.032060407,9.408803
"AUS",2015,"All genders","25-34",2538445,1.0723548,0.51661038,0.55574441,-0.036493544,9.190258
"AUS",2016,"All genders","25-34",2581995,1.0635564,0.5309819,0.53257465,-0.0014975748,9.0541945
"AUS",2017,"All genders","25-34",2636616,1.0408837,0.5443989,0.49648482,0.046032127,8.975771
"AUS",2018,"All genders","25-34",2702369,1.0263149,0.52977931,0.49653554,0.032391399,8.9437752
"AUS",2019,"All genders","25-34",2762766,1.0191791,0.49973342,0.51944566,-0.01934129,8.4226542
"AUS",2020,"All genders","25-34",2770482,1.0245377,0.51765841,0.50687927,0.010520982,8.5979872
"AUS",2021,"All genders","25-34",2749487,1.0990827,0.55926841,0.53981423,0.01770038,7.9269652
"AUS",2022,"All genders","25-34",NA,NA,NA,NA,NA,NA
"AUS",2002,"Female","25-34",860429,1.1695325,0.50718653,0.66234601,-0.13266794,9.169714
"AUS",2003,"Female","25-34",866228,1.1841168,0.52341366,0.66070324,-0.1159426,9.1081228
"AUS",2004,"Female","25-34",885625,1.2149568,0.53358722,0.6813696,-0.12163592,8.8812418
"AUS",2005,"Female","25-34",912832,1.2333896,0.55909038,0.67429936,-0.093408428,8.7885895
"AUS",2006,"Female","25-34",936548,1.2677736,0.57233584,0.69543785,-0.097100936,8.6130028
"AUS",2007,"Female","25-34",967395,1.2735908,0.58487463,0.68871623,-0.081534512,8.4677362
"AUS",2008,"Female","25-34",1004444,1.273717,0.55549061,0.71822643,-0.12776449,8.3757238
"AUS",2009,"Female","25-34",1021604,1.2335471,0.5165624,0.71698469,-0.16247639,8.776226
"AUS",2010,"Female","25-34",1043896,1.2518182,0.58378482,0.66803336,-0.067300946,8.7517385
"AUS",2011,"Female","25-34",1089028,1.1936346,0.57324445,0.62039018,-0.039497618,8.3817034
"AUS",2012,"Female","25-34",1127700,1.1849706,0.53382427,0.65114635,-0.099008434,8.3622704
"AUS",2013,"Female","25-34",1153692,1.1761963,0.52913135,0.64706498,-0.10026696,8.428483
"AUS",2014,"Female","25-34",1179401,1.1592836,0.5374853,0.62179834,-0.072728567,8.3083773
"AUS",2015,"Female","25-34",1205564,1.1611404,0.54080951,0.62033093,-0.068485618,8.1448269
"AUS",2016,"Female","25-34",1236548,1.1566741,0.55093062,0.60574341,-0.04738827,8.0284023
"AUS",2017,"Female","25-34",1270340,1.1341426,0.55724168,0.57690096,-0.017334046,8.115078
"AUS",2018,"Female","25-34",1308063,1.1179583,0.55348617,0.5644722,-0.0098268697,8.0507402
"AUS",2019,"Female","25-34",1344036,1.1067865,0.52175623,0.5850302,-0.05716908,7.5129495
"AUS",2020,"Female","25-34",1350968,1.1161969,0.54195559,0.57424122,-0.028924674,7.77493
"AUS",2021,"Female","25-34",1351700,1.1942482,0.57743967,0.61680853,-0.032965399,7.1997924
"AUS",2022,"Female","25-34",NA,NA,NA,NA,NA,NA
"AUS",2002,"Male","25-34",997648,0.84455937,0.45485663,0.38970274,0.077145427,10.238759
"AUS",2003,"Male","25-34",1002387,0.84264946,0.45960933,0.38304016,0.090867169,10.081812
"AUS",2004,"Male","25-34",1028344,0.87980807,0.47210646,0.40770164,0.073203258,9.8887844
"AUS",2005,"Male","25-34",1072798,0.9147898,0.49978948,0.41500035,0.092687003,9.7209501
"AUS",2006,"Male","25-34",1092675,0.94959563,0.5087831,0.4408125,0.071578473,9.6494265
"AUS",2007,"Male","25-34",1123792,0.95405895,0.53371799,0.42034096,0.11883651,9.3186874
"AUS",2008,"Male","25-34",1163704,0.97473133,0.48939371,0.48533759,0.0041612759,9.6184416
"AUS",2009,"Male","25-34",1178489,0.92788398,0.4458304,0.48205358,-0.039038472,10.60792
"AUS",2010,"Male","25-34",1202553,0.94985789,0.53163081,0.41822705,0.11939025,9.8095999
"AUS",2011,"Male","25-34",1250141,0.94244051,0.5178678,0.42457274,0.098993056,9.7445955
"AUS",2012,"Male","25-34",1290378,0.97206122,0.50833309,0.46372816,0.045886952,10.122625
"AUS",2013,"Male","25-34",1315424,0.9675563,0.48087025,0.48668605,-0.0060108174,10.507344
"AUS",2014,"Male","25-34",1325978,0.96796119,0.4868902,0.48107097,0.0060118437,10.457283
"AUS",2015,"Male","25-34",1332881,0.98091298,0.48619637,0.49471661,-0.0086860359,10.173779
"AUS",2016,"Male","25-34",1345447,0.96470511,0.50553536,0.45916978,0.04806193,10.015723
"AUS",2017,"Male","25-34",1366276,0.94071245,0.52513278,0.41557965,0.11645761,9.8056707
"AUS",2018,"Male","25-34",1394306,0.92800093,0.49990302,0.4280979,0.077376127,9.8176813
"AUS",2019,"Male","25-34",1418730,0.92664564,0.47103727,0.45560837,0.016650271,9.3226166
"AUS",2020,"Male","25-34",1419514,0.92370236,0.4863539,0.43734846,0.05305329,9.4102774
"AUS",2021,"Male","25-34",1397787,0.99247605,0.53464603,0.45783004,0.077398337,8.5933504
"AUS",2022,"Male","25-34",NA,NA,NA,NA,NA,NA
"AUS",2002,"All genders","25-55",5336399,0.76022661,0.3797088,0.38051778,-0.0010641353,11.133842
"AUS",2003,"All genders","25-55",5426467,0.75821447,0.3866792,0.3715353,0.01997311,10.960595
"AUS",2004,"All genders","25-55",5580641,0.77681291,0.3985087,0.37830418,0.026009498,10.59813
"AUS",2005,"All genders","25-55",5841741,0.79946375,0.42222539,0.37723839,0.05627146,10.462254
"AUS",2006,"All genders","25-55",5999644,0.82613271,0.42930132,0.39683139,0.039303526,10.400028
"AUS",2007,"All genders","25-55",6164149,0.83413815,0.44820842,0.3859297,0.07466235,10.025091
"AUS",2008,"All genders","25-55",6344768,0.85065186,0.41532069,0.4353312,-0.023523726,10.336834
"AUS",2009,"All genders","25-55",6386873,0.81019372,0.37417102,0.4360227,-0.076341845,11.201218
"AUS",2010,"All genders","25-55",6453142,0.81165576,0.43196398,0.37969181,0.064401895,10.913128
"AUS",2011,"All genders","25-55",6627735,0.8030113,0.42586231,0.37714902,0.060663275,10.821271
"AUS",2012,"All genders","25-55",6764290,0.81729186,0.4029417,0.41435021,-0.013958915,11.199525
"AUS",2013,"All genders","25-55",6839329,0.8099497,0.38813859,0.4218111,-0.041573584,11.643144
"AUS",2014,"All genders","25-55",6898852,0.81028551,0.3945373,0.41574821,-0.02617708,11.657414
"AUS",2015,"All genders","25-55",6957478,0.81677234,0.39644778,0.42032459,-0.029233135,11.351005
"AUS",2016,"All genders","25-55",7052434,0.80715108,0.41164118,0.3955099,0.019985456,11.134726
"AUS",2017,"All genders","25-55",7183899,0.78871548,0.42342621,0.3652893,0.073710874,11.040396
"AUS",2018,"All genders","25-55",7339651,0.77729571,0.4115237,0.36577201,0.058860086,10.993295
"AUS",2019,"All genders","25-55",7508023,0.78338146,0.38934979,0.3940317,-0.0059765456,10.24774
"AUS",2020,"All genders","25-55",7623553,0.7991637,0.40301371,0.39614999,0.0085886195,10.386077
"AUS",2021,"All genders","25-55",7628675,0.86203521,0.4500657,0.41196951,0.044193309,9.7255173
"AUS",2022,"All genders","25-55",NA,NA,NA,NA,NA,NA
"AUS",2002,"Female","25-55",2508236,0.86673915,0.41320837,0.45353082,-0.046522018,10.506278
"AUS",2003,"Female","25-55",2556131,0.87090182,0.4218367,0.44906509,-0.031264585,10.399934
"AUS",2004,"Female","25-55",2630821,0.89143407,0.43148792,0.45994619,-0.03192414,9.9787016
"AUS",2005,"Female","25-55",2744662,0.90634382,0.45581663,0.45052719,0.0058360142,9.9825802
"AUS",2006,"Female","25-55",2830327,0.93532187,0.46543378,0.46988809,-0.0047623334,9.9156513
"AUS",2007,"Female","25-55",2916797,0.94418418,0.47962439,0.46455979,0.015955146,9.6099024
"AUS",2008,"Female","25-55",3011023,0.94928008,0.45301861,0.49626148,-0.045553334,9.684062
"AUS",2009,"Female","25-55",3038007,0.90837479,0.4086813,0.49969351,-0.10019235,10.271048
"AUS",2010,"Female","25-55",3065655,0.91137612,0.4574579,0.45391822,0.0038838866,10.341347
"AUS",2011,"Female","25-55",3145502,0.89586914,0.45547104,0.4403981,0.016824936,10.118477
"AUS",2012,"Female","25-55",3207722,0.89839053,0.4263303,0.4720602,-0.050902035,10.279939
"AUS",2013,"Female","25-55",3242314,0.88829744,0.42002499,0.46827251,-0.054314595,10.474699
"AUS",2014,"Female","25-55",3281514,0.88410431,0.42856133,0.45554298,-0.030518629,10.385732
"AUS",2015,"Female","25-55",3326855,0.88771367,0.43350321,0.45421049,-0.023326529,10.113139
"AUS",2016,"Female","25-55",3391706,0.88615781,0.44622248,0.43993533,0.0070948508,9.8843288
"AUS",2017,"Female","25-55",3468572,0.86956894,0.4502821,0.41928682,0.035644419,10.003475
"AUS",2018,"Female","25-55",3556611,0.85756612,0.446888,0.41067809,0.042224046,9.9197884
"AUS",2019,"Female","25-55",3654174,0.86167502,0.42421991,0.43745512,-0.015359865,9.1501188
"AUS",2020,"Female","25-55",3717138,0.88111418,0.4394044,0.44170979,-0.0026164469,9.4314146
"AUS",2021,"Female","25-55",3750016,0.9556576,0.48204154,0.47361609,0.0088163838,8.8998699
"AUS",2022,"Female","25-55",NA,NA,NA,NA,NA,NA
"AUS",2002,"Male","25-55",2828163,0.66348618,0.34047338,0.3230128,0.026316425,12.208419
"AUS",2003,"Male","25-55",2870336,0.65490234,0.34358159,0.31132072,0.049260575,12.114266
"AUS",2004,"Male","25-55",2949820,0.67294967,0.3597613,0.3131884,0.069207095,11.546245
"AUS",2005,"Male","25-55",3097079,0.70048082,0.3810595,0.31942132,0.087994099,11.537416
"AUS",2006,"Male","25-55",3169317,0.72553158,0.3881616,0.33736998,0.07000608,11.423756
"AUS",2007,"Male","25-55",3247352,0.73183459,0.40974838,0.32208622,0.11978412,10.98509
"AUS",2008,"Male","25-55",3333745,0.7573272,0.37162441,0.38570279,-0.01858956,11.235971
"AUS",2009,"Male","25-55",3348866,0.71505898,0.33380529,0.38125369,-0.066355921,12.401582
"AUS",2010,"Male","25-55",3387487,0.7184763,0.40099549,0.3174808,0.11623862,11.935171
"AUS",2011,"Male","25-55",3482233,0.71615493,0.39317182,0.32298309,0.098007746,11.878689
"AUS",2012,"Male","25-55",3556568,0.7385394,0.37456667,0.36397272,0.014344462,12.419657
"AUS",2013,"Male","25-55",3597015,0.73159444,0.35101649,0.38057792,-0.040406853,13.038481
"AUS",2014,"Male","25-55",3617338,0.73528272,0.35526252,0.3800202,-0.033670973,13.144352
"AUS",2015,"Male","25-55",3630623,0.74376041,0.35428262,0.38947779,-0.047320578,12.725676
"AUS",2016,"Male","25-55",3660728,0.7258693,0.37147442,0.35439488,0.023529762,12.575287
"AUS",2017,"Male","25-55",3715327,0.70680678,0.3907595,0.31604731,0.10570384,12.33877
"AUS",2018,"Male","25-55",3783040,0.69532013,0.3706153,0.3247048,0.066027872,12.281735
"AUS",2019,"Male","25-55",3853849,0.7031247,0.34915513,0.35396957,-0.0068472149,11.481238
"AUS",2020,"Male","25-55",3906415,0.71416044,0.36057472,0.35358569,0.0097863609,11.464696
"AUS",2021,"Male","25-55",3878659,0.765365,0.41308081,0.35228419,0.079434805,10.722216
"AUS",2022,"Male","25-55",NA,NA,NA,NA,NA,NA
"AUS",2002,"All genders","26",174772,1.0654979,0.5401907,0.52530718,0.013968605,9.1955938
"AUS",2003,"All genders","26",177487,1.0655794,0.54962653,0.51595289,0.031601254,9.1248131
"AUS",2004,"All genders","26",185007,1.1091088,0.56274688,0.54636192,0.014773086,8.9292698
"AUS",2005,"All genders","26",196245,1.1386737,0.58716583,0.55150789,0.03131533,8.6514969
"AUS",2006,"All genders","26",209466,1.177318,0.60232246,0.57499552,0.023211181,8.5532217
"AUS",2007,"All genders","26",220901,1.1857529,0.62165827,0.5640946,0.048546087,8.2661095
"AUS",2008,"All genders","26",234012,1.2146773,0.58465385,0.63002354,-0.037351225,8.4506855
"AUS",2009,"All genders","26",235273,1.170537,0.54162008,0.62891692,-0.074578457,9.0878
"AUS",2010,"All genders","26",236869,1.1916847,0.62908167,0.56260312,0.055785351,8.5353584
"AUS",2011,"All genders","26",241328,1.1716007,0.61569059,0.55591011,0.051024619,8.3308678
"AUS",2012,"All genders","26",245315,1.2014961,0.60510731,0.59638882,0.0072563617,8.5295391
"AUS",2013,"All genders","26",247057,1.2040638,0.5971784,0.60688537,-0.0080618439,8.6819353
"AUS",2014,"All genders","26",246481,1.1873575,0.6104598,0.57689768,0.028266232,8.6086092
"AUS",2015,"All genders","26",251562,1.2030249,0.61789989,0.58512497,0.027243763,8.2673359
"AUS",2016,"All genders","26",253684,1.1776496,0.62023562,0.557414,0.05334492,8.2608404
"AUS",2017,"All genders","26",256382,1.1603897,0.63773847,0.5226512,0.099179849,8.0928183
"AUS",2018,"All genders","26",264214,1.1440903,0.6235438,0.5205465,0.090025499,8.1691217
"AUS",2019,"All genders","26",270539,1.1309813,0.57713598,0.55384541,0.020593245,7.7645774
"AUS",2020,"All genders","26",269744,1.1274388,0.60330015,0.52413863,0.070213594,7.9101758
"AUS",2021,"All genders","26",262366,1.1919858,0.65146714,0.5405187,0.093078658,7.1994901
"AUS",2022,"All genders","26",NA,NA,NA,NA,NA,NA
"AUS",2002,"Female","26",83760,1.1285859,0.53156471,0.59702122,-0.057998694,9.4419584
"AUS",2003,"Female","26",84808,1.1509628,0.54828638,0.60267639,-0.047256097,9.2744989
"AUS",2004,"Female","26",88306,1.1873846,0.56112337,0.62626123,-0.054858267,9.0526915
"AUS",2005,"Female","26",92119,1.1966171,0.58704865,0.60956848,-0.018819576,8.9274073
"AUS",2006,"Female","26",99106,1.2347097,0.6018157,0.6328941,-0.025170611,8.7685366
"AUS",2007,"Female","26",104521,1.2368145,0.60957336,0.62724108,-0.014284851,8.4848709
"AUS",2008,"Female","26",110710,1.2678915,0.58213139,0.68576014,-0.081733137,8.4760952
"AUS",2009,"Female","26",111964,1.22369,0.5480572,0.67563289,-0.10425491,8.8940201
"AUS",2010,"Female","26",113027,1.2391319,0.61982816,0.6193037,0.00042324894,8.5672092
"AUS",2011,"Female","26",114551,1.1952038,0.60579491,0.58940887,0.013709823,8.3209114
"AUS",2012,"Female","26",116629,1.2144499,0.59210974,0.6223402,-0.02489231,8.3815069
"AUS",2013,"Female","26",118047,1.2154104,0.59522539,0.6201849,-0.020535866,8.4319229
"AUS",2014,"Female","26",118725,1.1903486,0.60723305,0.58311558,0.020260846,8.2601624
"AUS",2015,"Female","26",121939,1.2133722,0.61745262,0.59591961,0.017746419,7.9603148
"AUS",2016,"Female","26",123528,1.18363,0.61209112,0.57153893,0.034260876,7.9795012
"AUS",2017,"Female","26",124886,1.1765461,0.62932593,0.54722017,0.069785416,7.9160309
"AUS",2018,"Female","26",129200,1.1523252,0.62201691,0.53030831,0.079585694,7.897429
"AUS",2019,"Female","26",132011,1.1425171,0.57350552,0.56901157,0.003933378,7.3964124
"AUS",2020,"Female","26",131514,1.1387615,0.60320187,0.53555959,0.059399858,7.6397319
"AUS",2021,"Female","26",129232,1.2081127,0.64130157,0.56681108,0.061658558,7.0158253
"AUS",2022,"Female","26",NA,NA,NA,NA,NA,NA
"AUS",2002,"Male","26",91012,1.0062857,0.55151987,0.45476583,0.096149683,9.1601419
"AUS",2003,"Male","26",92679,0.99439722,0.55365664,0.44074059,0.11355226,9.1653614
"AUS",2004,"Male","26",96701,1.0391406,0.56555647,0.47358412,0.088508092,8.8778906
"AUS",2005,"Male","26",104126,1.0868043,0.59003627,0.496768,0.085818835,8.587616
"AUS",2006,"Male","26",110360,1.1297383,0.60591358,0.52382469,0.072661862,8.4506788
"AUS",2007,"Male","26",116380,1.1404085,0.63471514,0.50569338,0.11313644,8.1997366
"AUS",2008,"Male","26",123302,1.1650017,0.58835167,0.57665008,0.010044263,8.4655848
"AUS",2009,"Male","26",123309,1.1231861,0.53634638,0.58683968,-0.044955418,9.3137112
"AUS",2010,"Male","26",123842,1.148221,0.639925,0.50829601,0.11463733,8.6041069
"AUS",2011,"Male","26",126777,1.150529,0.62804329,0.52248573,0.091746978,8.4526405
"AUS",2012,"Male","26",128686,1.190402,0.6195631,0.57083887,0.040930908,8.712471
"AUS",2013,"Male","26",129010,1.1942821,0.59969902,0.59458297,0.0042837835,8.900568
"AUS",2014,"Male","26",127756,1.1838589,0.61378616,0.57007271,0.036924545,8.9275837
"AUS",2015,"Male","26",129623,1.1931181,0.61868191,0.57443619,0.037084106,8.5550146
"AUS",2016,"Male","26",130156,1.1715593,0.62903261,0.54252672,0.073838249,8.5570526
"AUS",2017,"Male","26",131496,1.1418315,0.64593697,0.49589449,0.13140509,8.2687111
"AUS",2018,"Male","26",135014,1.1336164,0.6244002,0.50921631,0.10160746,8.4082003
"AUS",2019,"Male","26",138528,1.119173,0.58148712,0.53768587,0.039137155,8.1268291
"AUS",2020,"Male","26",138230,1.1150432,0.602449,0.51259422,0.080584124,8.1516504
"AUS",2021,"Male","26",133134,1.1762782,0.66210788,0.51417029,0.12576751,7.3845291
"AUS",2022,"Male","26",NA,NA,NA,NA,NA,NA
"AUS",2002,"All genders","27",176684,1.0186067,0.50580794,0.51279867,-0.0068630325,9.4265566
"AUS",2003,"All genders","27",177706,1.0298966,0.51940519,0.51049137,0.0086550582,9.3462658
"AUS",2004,"All genders","27",184126,1.0770025,0.53455287,0.54244971,-0.0073322398,9.3998041
"AUS",2005,"All genders","27",194855,1.1028204,0.55613434,0.54668611,0.0085673332,9.0907192
"AUS",2006,"All genders","27",202880,1.1504947,0.57156247,0.57893217,-0.0064056767,8.9412403
"AUS",2007,"All genders","27",216211,1.155714,0.5898695,0.56584448,0.020788034,8.6478844
"AUS",2008,"All genders","27",228612,1.178421,0.5584321,0.61998892,-0.052236691,8.7939711
"AUS",2009,"All genders","27",235992,1.1330388,0.5155707,0.61746812,-0.089932859,9.539463
"AUS",2010,"All genders","27",238536,1.1470594,0.60049874,0.5465607,0.047022875,8.9993515
"AUS",2011,"All genders","27",245786,1.1223972,0.57981241,0.54258484,0.033167914,8.7679501
"AUS",2012,"All genders","27",249554,1.1392081,0.5621165,0.57709163,-0.013145211,9.0819759
"AUS",2013,"All genders","27",251069,1.1481113,0.55596334,0.59214807,-0.031516742,9.2843742
"AUS",2014,"All genders","27",251380,1.1362243,0.56524181,0.57098252,-0.0050524375,9.0597744
"AUS",2015,"All genders","27",252838,1.1399651,0.56545198,0.57451314,-0.0079486277,8.9134569
"AUS",2016,"All genders","27",261232,1.1352401,0.58277988,0.55246019,0.026707735,8.729538
"AUS",2017,"All genders","27",264886,1.1082973,0.59238064,0.51591682,0.068992153,8.6841288
"AUS",2018,"All genders","27",269038,1.0876923,0.57581788,0.51187444,0.058788177,8.6413202
"AUS",2019,"All genders","27",275646,1.0878792,0.54248154,0.5453977,-0.0026805892,8.1707325
"AUS",2020,"All genders","27",275032,1.0736113,0.56303239,0.51057893,0.04885703,8.4343615
"AUS",2021,"All genders","27",273890,1.1420304,0.60240549,0.53962493,0.054972757,7.636003
"AUS",2022,"All genders","27",NA,NA,NA,NA,NA,NA
"AUS",2002,"Female","27",84016,1.1085806,0.49358281,0.61499774,-0.10952287,9.5480375
"AUS",2003,"Female","27",84562,1.1480083,0.52744281,0.62056553,-0.081116766,9.5642147
"AUS",2004,"Female","27",86963,1.1883918,0.54271126,0.64568049,-0.086645856,9.3565531
"AUS",2005,"Female","27",91734,1.2000256,0.56412554,0.63590002,-0.059810795,9.2788248
"AUS",2006,"Female","27",95061,1.2363997,0.57605451,0.66034514,-0.06817425,8.9540081
"AUS",2007,"Female","27",101735,1.2352314,0.58696854,0.64826286,-0.049621727,8.7784376
"AUS",2008,"Female","27",107370,1.2601337,0.56228012,0.69785357,-0.10758656,8.8357611
"AUS",2009,"Female","27",111255,1.2193232,0.52535152,0.69397175,-0.13829002,9.1918488
"AUS",2010,"Female","27",113155,1.214668,0.59163278,0.62303531,-0.025852766,9.1077662
"AUS",2011,"Female","27",116743,1.1783285,0.57237911,0.6059494,-0.028489754,8.7171059
"AUS",2012,"Female","27",118361,1.1745872,0.55235469,0.6222325,-0.05949137,8.7426176
"AUS",2013,"Female","27",119308,1.187542,0.5552392,0.63230282,-0.064893387,8.7772818
"AUS",2014,"Female","27",120464,1.1483575,0.55566597,0.59269148,-0.032242145,8.5841036
"AUS",2015,"Female","27",122244,1.1541452,0.56255525,0.59158993,-0.025156863,8.5024395
