EE,EU,UE,EN,UU,UN,NE,NU,NN,EU_j2j,EU_inv,EU_vol,EMP,UNEMP,NILF,date,,urate,jf rate,sep rate (all),sep rate (vol),vol sep sh,implied urate,vol sep share (including temp jobs)
4108730.827,18599.3025,50650.1719,88634.3525,150040.7777,42413.1465,102583.7571,44760.6593,1477561.551,0,20087.2442,5773.6893,7827992.408,547267.5288,3102023.213,1990.333333,,0.065343348,0.092551027,0.005679647,0.00073757,0.129861868,0.057819488,
4055494.511,14178.3072,53875.7209,116291.7677,176682.181,50673.146,79520.3478,48134.0391,1466448.91,0,25495.8952,7390.8674,7733925.023,583481.6215,3200769.688,1990.583333,,0.070151869,0.092334906,0.006085535,0.000955642,0.157035088,0.061832021,
4049361.282,16904.2924,59629.7862,121931.9396,174899.6707,59010.1629,113887.6443,63586.5272,1485653.266,0,31052.934,3849.2321,7744373.348,623947.0083,3192718.227,1990.833333,,0.074560603,0.095568671,0.006689561,0.000497036,0.074300236,0.065418314,
4010520.988,22778.1047,66869.5382,112628.2556,235481.1225,59834.4563,151091.3509,84659.5448,1468255.034,0,36459.9132,2667.1339,7629377.826,806269.9694,3161700.079,1991.083333,,0.095578904,0.082936908,0.00811405,0.000349587,0.043084199,0.08911548,
4014858.629,21636.9725,70126.4297,92099.968,276311.1628,66090.1732,63604.9172,54835.617,1515177.454,0,33838.31,3885.2603,7622893.715,804254.6281,3195365.279,1991.333333,,0.095436154,0.087194313,0.00778714,0.000509683,0.0654519,0.081985904,
3937018.946,17306.2922,65513.886,103812.5485,257921.0366,64577.3056,107581.585,63611.3767,1533063.624,0,40374.5135,3721.3585,7541030.487,795603.1657,3311039.347,1991.583333,,0.095434584,0.082344929,0.00814241,0.000493481,0.060606308,0.089983973,
3993936.846,20633.27978,61812.77918,105596.1925,261479.2514,67843.78037,105073.8638,71298.56712,1572356.037,0,41319.07044,5241.555308,7531795.952,804562.0856,3337386.667,1991.833333,,0.09651242,0.076827855,0.008921366,0.000695924,0.078006409,0.104040195,
3826166.501,25138.30305,70455.02424,98642.68732,313123.5753,74061.12928,139536.058,85375.67057,1506101.075,0,35491.18082,3756.019023,7516831.051,981643.1155,3207710.974,1992.083333,,0.11550816,0.071772545,0.008565512,0.000499681,0.058336409,0.106618357,
4026038.839,26384.78767,69724.67496,100820.5759,301667.8206,72066.41975,87131.97764,76727.45437,1543254.203,0,36235.89274,3648.374075,7548723.697,899916.4622,3283546.69,1992.333333,,0.106516131,0.077479053,0.008778842,0.00048331,0.055053963,0.101774362,
3969071.384,24168.83178,72377.02268,121296.7501,303448.4902,72161.36652,89579.23757,76975.75605,1524014.118,0,33974.88968,2449.71947,7530024.026,884685.5909,3342392.186,1992.583333,,0.105135606,0.081811011,0.008046912,0.000325327,0.04042879,0.089551503,
1379814.245,6220.521204,24518.46686,34156.91882,92507.65498,26717.23331,29257.67387,25822.14562,534745.901,0,11578.65763,753.0991375,7506663.282,887106.9004,3383707.21,1992.833333,,0.105686346,0.027638684,0.002471441,0.000100324,0.040593351,0.082080076,
3081400.083,21242.21266,51983.78762,96411.6517,263177.3285,62864.64912,104005.9164,90512.15758,1204568.898,0,24757.01708,3438.91478,7463660.708,1038134.69,3304246.098,1993.083333,,0.122107701,0.050074223,0.006623847,0.000460754,0.069559948,0.116826671,
3967178.791,23291.89287,66072.82378,101274.7312,309712.0305,75618.34379,107882.3472,81280.18573,1547200.283,0,24196.93289,3009.422959,7548634.46,914708.2228,3363242.467,1993.333333,,0.108078836,0.07223377,0.00668972,0.000398671,0.059594601,0.084762087,
3948848.635,21723.52931,59560.51025,119033.0318,305082.1323,73022.0494,92667.06045,81783.54086,1615040.262,0,33780.92324,6371.709307,7510100.241,909169.1969,3431544.676,1993.583333,,0.107986709,0.06551092,0.008239059,0.000848419,0.102975186,0.111716091,
4068975.827,21826.93902,76186.04021,100462.4594,302221.7267,67392.22558,83412.3567,83512.14353,1589275.71,0,29055.27862,5433.702739,7660753.346,892215.1356,3320207.178,1993.833333,,0.10431643,0.085389764,0.007351225,0.000709291,0.096486086,0.07926619,
3959599.203,24013.20063,77789.33903,107261.9013,321653.119,70348.8015,152999.4363,102841.9757,1472141.406,0,24629.50988,3306.35679,7654815.995,1003768.9,3245198.269,1994.083333,,0.115927592,0.07749726,0.006786455,0.000431932,0.063646124,0.080519177,
4063876.46,26576.61573,78191.73569,100282.1787,290777.9569,67925.88853,97040.23995,80118.66978,1545001.864,0,26923.77057,3261.23886,7768755.929,843301.0518,3316575.67,1994.333333,,0.097920979,0.092721022,0.007306398,0.000419789,0.057454994,0.073043954,
4126707.693,24019.83506,63272.69463,136744.0137,254949.2505,67616.11015,80966.26198,74752.79066,1535765.485,0,22778.86746,3006.897216,7775637.284,795387.2568,3389560.601,1994.583333,,0.092799554,0.079549545,0.00640534,0.000386707,0.060372674,0.074519789,
4230604.216,21993.09321,57874.15866,117347.9339,251917.1864,66537.91464,101391.605,74675.09936,1604562.953,0,25990.18537,4311.690533,7911550.784,754484.3626,3319773.541,1994.833333,,0.087062232,0.076706903,0.006609952,0.000544987,0.082449433,0.079335109,
4027405.006,30119.59217,73587.751,112967.5318,265251.6716,69055.97075,152962.4545,96222.90147,1478873.871,0,27935.88179,6516.896123,7955690.015,872235.7043,3190880.347,1995.083333,,0.098804151,0.084366818,0.008116502,0.000819149,0.100923911,0.087761788,
4257530.444,29806.84951,53780.13994,107053.8738,231598.9113,59758.53496,98587.33498,65620.88241,1501480.464,0,23417.71653,4187.753084,8066883.496,749310.38,3239836.601,1995.333333,,0.084992502,0.071772848,0.007117038,0.000519129,0.072941716,0.090214838,
4315121.491,26021.88218,55308.64827,117602.745,219368.8356,60052.49303,94390.95835,67553.21085,1524039.69,0,25514.64504,5693.918662,8072725.945,718196.9755,3304594.606,1995.583333,,0.081697563,0.077010417,0.007089358,0.000705328,0.099491076,0.084296994,
4168447.442,21035.37296,60057.19243,89869.7116,229508.6762,68038.65162,108431.2707,73912.02832,1466425.396,0,22739.68068,4699.411544,8203135.829,719254.37,3212972.686,1995.833333,,0.080612297,0.083499239,0.00590926,0.00057288,0.096946125,0.066092826,
4122205.977,32027.77293,85040.74933,121211.0912,236023.9389,65142.99188,159954.2423,91556.6358,1435807.999,0,30007.73299,5544.157252,8151758.767,837849.0529,3185838.91,1996.083333,,0.093201958,0.101498891,0.008290194,0.000680118,0.082038841,0.075510186,
4300631.106,25628.00466,76556.06555,104721.6234,239771.2817,65878.19434,104540.8447,73997.61996,1525459.601,0,26505.1807,7270.788914,8196332.792,756462.9749,3259501.622,1996.333333,,0.084494609,0.10120266,0.007247628,0.000887078,0.122395665,0.066829037,
4238475.992,25161.11333,71144.21104,123186.846,220643.9536,55486.07682,100217.2837,77898.89187,1486796.658,0,34458.52053,6079.934062,8169395.334,761962.8431,3319865.59,1996.583333,,0.085313211,0.093369659,0.008042158,0.000744233,0.092541462,0.079301981,
4333078.37,28292.27941,74578.88186,133928.0242,240778.059,64982.13465,102623.1931,78571.87849,1555072.88,0,25607.30721,4697.051433,8216741.842,721668.1108,3345710.298,1996.833333,,0.080737862,0.103342355,0.007131371,0.000571644,0.08015906,0.064552647,
4133016.576,24591.47806,69509.93752,114142.7625,260568.0355,69990.94572,151214.3681,97202.41491,1466968.685,0,27500.33994,4566.104306,8195674.541,885155.7306,3239973.491,1997.083333,,0.097475198,0.078528484,0.006913149,0.000557136,0.080590747,0.080910782,
4233120.431,25160.29147,76245.87325,128317.4055,238249.2477,70432.11861,108311.2595,69806.47624,1528166.203,0,32029.9933,7048.589392,8225274.231,773818.5382,3348748.162,1997.333333,,0.085988506,0.098531981,0.007809937,0.000856943,0.109724672,0.073441755,
4359671.527,30188.74548,72998.01835,157884.3853,227861.4934,73940.58169,102714.8393,77381.49169,1603332.06,0,32278.37007,5165.497285,8146825.996,741590.3942,3490916.777,1997.583333,,0.083433354,0.098434417,0.008301713,0.00063405,0.076375835,0.07777791,
3862779.83,23217.55757,54986.59872,106779.748,202080.5231,59405.80602,108661.9736,69666.07294,1442665.184,0,17882.10666,4541.494605,8341034.464,688535.0068,3380557.958,1997.833333,,0.076253359,0.07986028,0.005471882,0.000544476,0.099504367,0.0641245,
4213994.022,26653.67334,58416.77384,128975.5588,244610.0647,67964.52134,144314.8388,90546.19104,1545812.595,0,18938.00688,5218.324062,8296800.149,793560.5653,3361273.772,1998.083333,,0.087296928,0.073613504,0.006124048,0.000628956,0.102702689,0.076802561,
4379701.714,31999.96062,61465.14075,124417.2624,212879.7349,62989.07238,115023.0296,71498.07899,1577307.622,0,18545.04402,5166.215897,8370841.001,708735.2324,3403590.6,1998.333333,,0.078058184,0.08672511,0.006655391,0.000617168,0.092732054,0.071271743,
4423760.433,31169.75437,53165.74141,144067.671,219843.5298,72536.81752,109479.0491,75736.54682,1587321.187,0,18568.37357,4081.621379,8344853.127,688059.4693,3484386.604,1998.583333,,0.076172493,0.077269108,0.006449454,0.000489118,0.075838729,0.077037328,
4555792.993,24892.09333,51799.74449,134606.522,216988.7062,59458.97233,115484.9681,79277.76445,1616656.435,0,14064.01326,4465.868836,8446529.336,664208.794,3442262.917,1998.833333,,0.07290395,0.07798714,0.005140807,0.000528722,0.102848127,0.0618421,
4483993.456,28528.77554,60267.2864,137928.397,227794.5235,67210.36836,162816.3166,94976.85483,1621845.25,0,15927.9297,5162.789298,8448873.984,734908.6142,3413038.202,1999.083333,,0.080022432,0.082006504,0.005872912,0.000611062,0.1040476,0.066829212,
4530950.913,21786.20459,53746.63971,126617.7206,203089.1008,67996.37249,108594.5733,70552.64958,1648295.013,0,14730.28822,4041.769002,8497470.198,647642.7219,3486953.274,1999.333333,,0.07081845,0.082988101,0.004772981,0.000475644,0.099653408,0.054386075,
4445100.865,23999.29283,49700.45385,147579.3048,175675.4412,60855.61895,106291.4976,82428.24276,1630968.189,0,13611.05227,3782.650253,8498945.707,618637.3872,3552811.831,1999.583333,,0.067851028,0.080338587,0.004870368,0.000445073,0.091383825,0.057157939,
4603672.884,21611.10934,46813.48334,145962.9305,173001.3262,77650.01356,113793.4952,62541.723,1623964.67,0,11493.22049,4945.954978,8648929.388,564490.1858,3496254.389,1999.833333,,0.06126826,0.082930553,0.004399421,0.000571857,0.129984703,0.050376991,
4465208.185,29962.30756,69598.08064,126537.6412,190433.5429,70521.10297,178515.6877,98796.81251,1603842.125,0,23571.9666,7119.081956,8636865.947,696780.744,3423669.309,2000.083333,,0.074652573,0.099885195,0.007022612,0.000824267,0.117373257,0.065688484,
4704565.164,29077.43272,47830.46692,140140.5903,187106.8506,66240.01555,102669.6248,68289.50788,1620553.405,0,14468.38089,8545.169753,8748743.134,606689.8894,3440717.723,2000.333333,,0.064848937,0.078838411,0.005954111,0.000976731,0.164043165,0.07021976,
4637000.732,20255.50635,40354.6904,144258.5558,161818.5665,58198.90126,104916.6735,64051.72342,1623117.45,0,19673.19002,8271.841103,8799445.346,555624.1179,3480886.905,2000.583333,,0.059392837,0.072629479,0.005477679,0.000940041,0.171613047,0.070130308,
4750260.043,29293.44471,48279.78663,145924.5662,150160.7383,64079.88208,114627.6968,64305.98929,1617684.453,0,12684.47448,6084.977717,8798362.246,555772.2917,3524009.414,2000.833333,,0.059414614,0.086869726,0.005462709,0.000691603,0.126604473,0.059163494,
4454783.189,29161.50645,60446.49008,141459.9486,183160.1139,62809.70338,179657.7966,103751.3512,1592223.225,0,21215.12346,7077.332166,8809933.147,698239.083,3425944.225,2001.083333,,0.073435679,0.086569904,0.006521498,0.000803336,0.123182665,0.070054784,
4562778.358,23762.66982,54457.10223,118555.524,195074.3186,67411.34285,105996.739,70302.77841,1573747.775,0,18243.77012,7040.842899,8887594.13,662644.6242,3429956.527,2001.333333,,0.069385137,0.082181459,0.005518623,0.00079221,0.14355215,0.062926089,
4698515.497,27511.55909,60313.00099,148877.0662,171726.0796,68663.57596,117005.0196,76683.8319,1608938.251,0,21059.73261,7787.398415,8855396.469,636370.9897,3530055.889,2001.583333,,0.06704452,0.094776478,0.006364333,0.000879396,0.138175646,0.062925467,
4759576.604,27093.06116,76604.29115,140292.6597,183942.1262,69239.25194,113499.8889,76485.85814,1676490.543,0,19681.42926,4858.346597,8931626.952,625494.1306,3510247.797,2001.833333,,0.065447965,0.12247004,0.005780899,0.000543949,0.094094125,0.045074909,
4655203.208,24723.70776,80637.06798,109935.8665,201829.6963,70488.52826,137306.6304,84758.92737,1593601.99,0,21420.0812,8847.235237,8964142.599,718670.0146,3433198.388,2002.083333,,0.074221204,0.11220319,0.006134555,0.000986958,0.160885078,0.051839376,
4872293.011,25729.04117,63157.48567,114944.1012,193381.5024,62041.30889,95402.89916,73804.28257,1705050.051,0,18606.05054,7584.155614,9003114.256,619989.921,3531812.467,2002.333333,,0.064427227,0.101868568,0.00576681,0.000842392,0.146075993,0.053577271,
4736222.735,24867.7075,56331.25178,130825.296,143869.1692,57527.50505,108676.1928,75304.33597,1650280.416,0,19422.07995,10057.18372,9031072.398,594612.827,3569848.497,2002.583333,,0.061773558,0.094736019,0.006017776,0.00111362,0.185055091,0.059727538,
4583492.73,27609.05333,67094.37261,124551.0454,147651.3624,65700.77593,112618.8074,73357.39484,1563937.927,0,12331.32829,6774.652588,9166994.189,563986.8102,3507622.322,2002.833333,,0.057957858,0.118964436,0.005096003,0.000739027,0.14502082,0.041076781,
4630834.699,29357.97186,74184.10234,117309.8981,184396.2122,57521.96884,139946.0819,96922.64367,1541703.908,0,13641.79662,5646.143415,9249455.821,671879.0939,3369379.698,2003.083333,,0.067720634,0.110412875,0.005259327,0.00061043,0.116066144,0.045467509,
4817757.556,27624.42587,63863.17441,119291.1503,170658.94,58885.40159,106962.8057,67433.878,1592973.218,0,17054.71175,7128.728318,9251203.13,605410.9465,3475235.887,2003.333333,,0.061421797,0.105487314,0.005600122,0.000770573,0.137599343,0.050411839,
4834239.759,21405.06843,63057.4846,148544.302,150188.7754,60854.03943,117921.0545,76580.9766,1614835.756,0,14624.30411,6159.855759,9210046.519,551815.3318,3610064.236,2003.583333,,0.056527673,0.114272803,0.004580783,0.000668819,0.146005414,0.038541398,
4940521.731,21649.94176,63332.96712,142633.641,147468.8576,62073.02936,119378.5778,72781.674,1660862.196,0,13610.21837,6943.556078,9305239.337,522723.4702,3585612.285,2003.833333,,0.053187368,0.121159601,0.004535479,0.000746199,0.164524755,0.036083185,
4778984.081,28780.58513,67213.45526,121219.3335,174478.0399,60702.09693,146640.5803,88725.03107,1666862.145,0,12885.50899,8472.203641,9306372.476,639393.9307,3515211.557,2004.083333,,0.06428805,0.105120571,0.005387523,0.000910366,0.168976691,0.048752295,
4993964.026,19117.71114,57967.49028,120246.322,155979.6759,66996.69844,110968.0396,67746.3646,1665620.699,0,13164.37648,5354.876978,9409132.037,537386.1507,3551152.538,2004.333333,,0.054027564,0.107869342,0.004000046,0.000569115,0.142277068,0.035756398,
4791155.989,21952.8342,51518.2764,152185.3725,148880.7764,53252.63855,110125.4837,62024.94065,1635386.693,0,11355.62268,7358.947237,9333885.236,527890.3829,3676289.792,2004.583333,,0.053528939,0.097592754,0.004356964,0.000788412,0.180954438,0.042736403,
5072892.636,22861.74396,55343.83133,120465.1042,128799.1864,62418.39655,106938.8025,74491.21007,1652757.089,0,9736.472636,6251.99575,9515998.805,484191.0423,3581905.762,2004.833333,,0.048418185,0.114301642,0.004082621,0.000656998,0.160925652,0.034486176,
4856931.881,30044.758,78530.00027,119195.5156,137449.462,46644.99027,158021.2663,86037.32083,1584197.555,0,16425.0135,7659.481207,9600711.109,588744.3722,3447673.961,2005.083333,,0.057779768,0.133385564,0.005638046,0.000797804,0.141503546,0.040554595,
5183442.46,25477.61397,64022.70861,109195.7513,135044.2693,51350.10929,109486.9138,59939.49518,1603097.444,0,12734.58999,5918.643733,9699985.018,529949.3677,3450996.578,2005.333333,,0.05180379,0.120809105,0.004549579,0.00061017,0.134115795,0.036292491,
5106331.676,22561.95802,54878.01757,139130.2342,124636.5868,58345.37137,99973.20856,69787.96182,1637703.515,0,14247.16269,6826.265242,9717333.452,484856.1975,3525653.849,2005.583333,,0.047524719,0.113184111,0.004490469,0.000702483,0.15643875,0.038160061,
5295764.446,20334.61117,53954.05893,140777.9344,137709.1037,58810.17956,124074.2534,63595.99486,1629398.607,0,11699.5193,5620.486677,9789787.601,475922.7023,3512192.482,2005.833333,,0.046360426,0.113367273,0.003846316,0.000574117,0.14926421,0.032814592,
5023698.288,31746.73564,73370.55552,133855.3424,152535.2886,60913.57814,169622.3093,92634.67658,1584679.036,0,11927.33973,6979.099558,9803962.995,605088.174,3429937.56,2006.083333,,0.058130964,0.121255973,0.005166602,0.000711865,0.137782075,0.040867717,
5218219.079,19220.96722,59417.38312,118598.5641,140012.9007,58522.86832,107234.5246,61281.73529,1613239.975,0,11854.3977,6325.452324,9916486.808,507972.3693,3461734.352,2006.333333,,0.048728894,0.116969715,0.003771579,0.000637872,0.169126046,0.031236864,
5214126.292,21652.40999,45813.10617,148878.3991,124810.1346,56483.75712,125938.8804,72797.6277,1564779.315,0,12141.77881,7955.10246,9941844.658,475265.4295,3525242.383,2006.583333,,0.045623539,0.096394779,0.004199351,0.000800164,0.190544611,0.041745484,
5360882.894,19040.56726,53129.15234,148547.2615,111911.0203,53602.0999,127098.9507,68341.65208,1617456.433,0,10185.33179,10562.85977,10025893.34,442886.7679,3536043.438,2006.833333,,0.04230548,0.119961029,0.0039686,0.001053558,0.265473467,0.032023011,
5249420.579,26990.38686,75004.77762,150205.2552,122626.4941,52639.24788,192465.2372,96186.13353,1610273.707,0,17260.38726,11461.54884,10097986.92,564188.583,3418468.39,2007.083333,,0.052914959,0.132942743,0.005517171,0.001135033,0.205727355,0.039846704,
5545333.918,23365.29681,55176.3764,133970.5162,137763.2889,58624.84235,131705.4729,63200.7105,1635097.355,0,12106.3184,7239.174407,10226368.34,463402.2144,3458323.51,2007.333333,,0.043350062,0.119068003,0.004176535,0.000707893,0.169492872,0.033888199,
5437737.976,22309.4641,58467.10503,158120.3702,105683.1643,55579.20421,126718.2827,71908.96631,1647952.084,0,14364.54466,8049.435538,10212376.94,445282.004,3555088.213,2007.583333,,0.04178047,0.131303544,0.004379337,0.000788204,0.17998246,0.032276271,
5586091.772,20171.84054,60399.40569,158158.0353,101664.2633,61298.60482,135942.401,68915.39159,1646837.939,0,11812.70502,9127.684965,10331745.36,450308.8722,3496378.188,2007.833333,,0.041764664,0.134128838,0.003979214,0.00088346,0.222018724,0.028812328,
5551922.124,27516.11906,71333.68042,147218.1594,119451.5428,57697.56672,167489.2169,94676.0553,1625091.26,0,12266.93668,8289.281368,10429214.62,496956.3454,3437744.692,2008.083333,,0.04548312,0.14354114,0.004609392,0.000794814,0.172433501,0.031112894,
5227819.387,18109.04108,63802.25877,140707.2079,115291.6479,51310.25084,110880.0327,62383.05381,1508089.111,0,16043.55059,6985.618103,10484820.96,477864.5063,3480818.212,2008.333333,,0.043590095,0.133515375,0.003923597,0.00066626,0.16980851,0.02854792,
4392098.759,13242.86931,46065.58739,132206.5674,81740.99947,44496.48363,105854.8125,48964.55682,1262357.927,0,9519.531131,11358.44396,10501236.28,428102.297,3596345.319,2008.583333,,0.03917001,0.107604158,0.003249222,0.001081629,0.332888712,0.029310984,
5803450.153,20062.15358,56995.35851,156147.3091,117722.0311,63124.46807,129538.3333,70096.61592,1689915.873,0,20229.81633,11639.66474,10548694.85,463713.5731,3592652.43,2008.833333,,0.04210828,0.122910697,0.004923039,0.001103422,0.22413438,0.038511265,
5610523.113,25262.16505,66902.46793,143840.1791,166409.9709,58086.76964,173163.4665,95961.24721,1645713.447,0,27118.85513,8181.694219,10561354.01,681642.9117,3447718.985,2009.083333,,0.060628222,0.09814885,0.00573437,0.000774682,0.135094576,0.055200159,
5873130.638,27575.01301,63465.51353,138648.1278,201823.2376,72945.58365,119722.0541,83731.58507,1621247.685,0,30497.63912,4574.914179,10571532.91,666653.5466,3522133.397,2009.333333,,0.059320385,0.095200144,0.005926063,0.000432758,0.073026208,0.058600662,
5658619.194,25199.44221,63735.74509,166025.8268,184032.5284,76334.05241,128475.8694,81467.23674,1723171.09,0,27236.11478,5864.709769,10477388.49,620132.6085,3726154.881,2009.583333,,0.055880282,0.102777606,0.005564389,0.000559749,0.100594905,0.051359485,
5676562.735,23981.94592,65966.11378,126865.7814,180289.1145,73063.33275,118592.1559,75717.98665,1690594.985,0,13368.99126,6637.715058,10601616.59,589277.7316,3683682.438,2009.833333,,0.052656894,0.111944013,0.00414924,0.000626104,0.150896077,0.035740579,
5845003.225,29642.40257,79175.25607,162807.6447,185326.3587,72549.87651,170033.3562,108180.262,1695630.353,0,17904.07653,8180.332201,10650445.82,687779.2109,3593338.965,2010.083333,,0.060660219,0.115117257,0.005232345,0.000768074,0.146793474,0.043476217,
