,,,,,,,,,,,,,,,,,0.054889928,0.13731835,0.006537163,0.045809784,0.293278973,,0.032549007,0.710525214
8652669.126,51614.48476,122107.9311,240423.4408,310060.8108,113859.9434,284275.6342,164735.5705,2933518.668,17800.29014,28042.94203,20436.14326,13334439.83,911933.2526,4938813.646,2004.083333,,0.064011608,0.133900075,0.008841306,0.061939332,0.324329302,,,
12736526.06,54083.85378,160928.7023,332133.868,414633.65,189822.1629,319475.5823,179667.6873,4244821.175,22176.7111,38811.48988,20986.42472,17456113.59,993049.2612,6457949.092,2004.333333,,0.053826251,0.162055105,0.007794317,0.045889569,0.317239587,,,
9525970.519,33407.39799,102868.278,302191.5486,296638.941,104886.2934,216533.9519,122620.8742,3250626.137,14451.03881,22711.24536,9863.961161,14330418.43,780130.5316,5541818.104,2004.583333,,0.051628206,0.131860341,0.005612791,0.040828276,0.302298876,,,
6928193.382,22442.41233,74798.27013,162855.7735,173123.9104,84598.56693,145010.9291,101991.5383,2251695.191,9278.798267,12345.85145,6582.588076,11382560.97,567875.8796,4234378.837,2004.833333,,0.047519257,0.131715878,0.004449759,0.032679014,0.313158853,,,
4856931.881,22354.64388,78530.00027,119195.5156,137449.462,46644.99027,158021.2663,86037.32083,1584197.555,7659.481207,16425.0135,7690.114122,9600711.109,588744.3722,3447673.961,2005.083333,,0.057779768,0.133385564,0.005638046,0.040554595,0.283573014,,,
5183442.46,19367.24138,64022.70861,109195.7513,135044.2693,51350.10929,109486.9138,59939.49518,1603097.444,5918.643733,12734.58999,6110.372588,9699985.018,529949.3677,3450996.578,2005.333333,,0.05180379,0.120809105,0.004549579,0.036292491,0.272576145,,,
5106331.676,15264.03786,54878.01757,139130.2342,124636.5868,58345.37137,99973.20856,69787.96182,1637703.515,6826.265242,14247.16269,7297.920158,9717333.452,484856.1975,3525653.849,2005.583333,,0.047524719,0.113184111,0.004490469,0.038160061,0.323686501,,,
5295764.446,15504.63068,53954.05893,140777.9344,137709.1037,58810.17956,124074.2534,63595.99486,1629398.607,5620.486677,11699.5193,4829.980493,9789787.601,475922.7023,3512192.482,2005.833333,,0.046360426,0.113367273,0.003846316,0.032814592,0.277534814,,,
5023698.288,24595.53151,73370.55552,133855.3424,152535.2886,60913.57814,169622.3093,92634.67658,1584679.036,6979.099558,11927.33973,7151.20413,9803962.995,605088.174,3429937.56,2006.083333,,0.058130964,0.121255973,0.005166602,0.040867717,0.278961856,,,
5218219.079,14072.2634,59417.38312,118598.5641,140012.9007,58522.86832,107234.5246,61281.73529,1613239.975,6325.452324,11854.3977,5148.703821,9916486.808,507972.3693,3461734.352,2006.333333,,0.048728894,0.116969715,0.003771579,0.031236864,0.306788915,,,
5214126.292,15092.91448,45813.10617,148878.3991,124810.1346,56483.75712,125938.8804,72797.6277,1564779.315,7955.10246,12141.77881,6559.495511,9941844.658,475265.4295,3525242.383,2006.583333,,0.045623539,0.096394779,0.004199351,0.041745484,0.347660943,,,
6310483.72,25753.646,65774.79679,195241.119,124568.3287,66242.41933,169012.4317,80263.05321,1847799.177,13713.0207,13030.12991,10577.96617,11037786.83,489360.816,3828818.844,2006.833333,,0.042452897,0.134409611,0.005714439,0.040781288,0.385114201,,,
9498773.759,47225.41802,145908.0352,299130.9988,215259.2924,98857.14562,360883.8635,181441.3382,2699994.273,17114.6061,32655.80907,20224.43962,14544323.26,799415.2679,4685721.867,2007.083333,,0.052100423,0.182518449,0.008059521,0.042289886,0.318537441,,,
13895511.38,52820.02857,156844.6274,371649.7056,338142.7856,158785.3436,378546.0714,175594.494,3826162.669,22632.8346,33721.46849,19897.69736,18883756.41,854186.1915,5990897.768,2007.333333,,0.043276354,0.183618781,0.006835082,0.035888389,0.329510059,,,
10703395.05,32248.7805,114264.0222,309804.6708,206202.6165,108859.7343,249636.4308,142208.3976,3085531.082,16098.87108,28342.56097,11790.2914,15755740.76,663720.3993,5225180.057,2007.583333,,0.040422788,0.172156864,0.005615763,0.031589582,0.315201216,,,
8519027.173,29260.1733,93857.84169,261944.0229,147023.9321,100126.7114,230507.1944,102363.4926,2414950.179,14402.91532,21168.39803,11385.49325,13374017.64,562728.2876,4400777.281,2007.833333,,0.040377308,0.166790694,0.005698884,0.033039007,0.338355162,,,
9935751.739,54784.92116,127244.7643,290542.0383,205326.4776,119618.3931,323613.3737,161362.9959,2689928.171,14734.18873,21626.61739,22003.22275,14631452.4,690046.3842,4604912.135,2008.083333,,0.045037786,0.184400306,0.007733269,0.040249439,0.324681859,,,
14793114.26,60846.1344,187784.0974,409805.6459,331214.9466,175523.4677,356127.4029,192487.1121,3890907.477,22552.46766,43476.2373,23041.76936,19387724.2,877415.2254,5970840.388,2008.333333,,0.043296777,0.214019648,0.007732553,0.034870243,0.304130659,,,
8693610.837,21226.28998,91109.7762,256252.1195,161777.3579,88127.92297,206380.4194,95987.6057,2359142.058,22493.81584,18652.54039,5259.448639,16358740.46,641535.4055,5267015.581,2008.583333,,0.037736764,0.142018313,0.004134309,0.028287617,0.410356422,,,
9019896.987,26474.15128,95798.88155,261782.1491,166861.1487,103000.1625,218110.6503,108437.2719,2473361.312,18585.40031,30994.9841,11330.66507,13912543.71,586662.3463,4531543.29,2008.833333,,0.040461688,0.163294751,0.006281037,0.037039704,0.342347046,,,
10180078.01,45084.76513,135363.559,261679.1682,304780.6251,110298.5965,335692.4502,183732.9625,2700960.789,17476.29431,49390.478,17358.81458,15326908.47,971030.5474,4656321.393,2009.083333,,0.05957996,0.139401957,0.008436819,0.0570677,0.269391494,,,
14412847.23,69290.40353,172318.7285,348704.4209,497168.073,195881.3385,335772.2662,223133.7159,3737079.332,14983.90707,78892.70913,22209.06359,19628004.35,1223292.862,6020309.049,2009.333333,,0.05866747,0.140864656,0.009444469,0.062833638,0.200635217,,,
11207532.75,41308.26607,125623.1057,323295.4661,365925.4448,149813.7619,250975.547,159155.8423,3182424.683,11729.41954,53549.20582,9090.618344,16311721.1,940299.5781,5457907.214,2009.583333,,0.054503736,0.133599024,0.00709168,0.050406175,0.179983455,,,
8776227.951,32659.35604,105228.9069,217583.8855,264524.3845,120986.1026,194768.6424,113269.0276,2488540.588,11480.32589,24056.00406,11419.88217,13581929.5,732183.5316,4551623.551,2009.833333,,0.051151163,0.143719303,0.005861875,0.039188585,0.2876348,,,
10369597.98,60795.16568,150775.0591,299616.8314,313388.258,138432.0499,332203.8122,194499.2306,2748895.953,16935.51514,36458.16864,19590.88527,15355436.48,975270.0324,4850767.002,2010.083333,,0.059720015,0.154598269,0.008712207,0.053347506,0.273033883,,,
14648532.31,61581.6691,191457.6411,386774.2264,472241.5966,207299.2676,372551.8409,196687.1239,3909684.465,25723.02841,48028.45645,23715.55457,19827699.36,1101213.147,6274689.339,2010.333333,,0.052616836,0.173860657,0.008021541,0.044102949,0.310839261,,,
11460589.29,30243.07909,118896.6895,290340.1011,323035.0415,132467.819,227207.7649,144865.046,3253981.179,22328.11348,35311.52126,13405.79657,16630921.02,843130.0167,5456637.239,2010.583333,,0.048250404,0.141018214,0.006090373,0.041400526,0.352793322,,,
9249135.363,37096.53375,105105.794,252313.3663,231146.4584,120439.2635,190845.1748,116857.2326,2529579.79,16141.02912,18672.86559,11548.53959,14192243.87,701584.8621,4574570.437,2010.833333,,0.047105743,0.149811947,0.005880604,0.03777062,0.331774636,,,
10429759.89,50585.77778,154059.9012,290013.9971,294953.4382,136361.5171,311501.3996,185510.2147,2785027.207,16770.7406,26967.46661,22326.34759,15724476.11,908321.5127,4877151.156,2011.083333,,0.054610267,0.169609438,0.007418392,0.041905232,0.335164824,,,
15050222.34,53540.7158,170572.2177,357323.1185,434377.8769,181436.5754,340250.3006,201631.0161,3992951.508,21222.11332,47479.60403,24017.99619,20251156,1082002.461,6232129.973,2011.333333,,0.050719281,0.157644944,0.007222325,0.043806906,0.309312025,,,
11652979.81,39290.69522,113883.5792,302332.6614,312244.6646,131318.4943,262035.2655,157724.6699,3281949.914,15091.19322,28721.03912,18908.09401,16868454.97,877885.4608,5477759.576,2011.583333,,0.049468535,0.129724872,0.006047443,0.044541062,0.333290332,,,
9054387.101,38342.05922,99905.07039,254445.5214,257405.5844,111495.1983,207278.9887,123901.0069,2528983.853,14580.36811,27451.10022,11121.14081,14275658.54,742186.4382,4657674.203,2011.833333,,0.049420302,0.13460913,0.006409138,0.045448992,0.280907176,,,
10516145.46,49463.96434,144085.939,303703.3077,302112.2788,124532.8241,356281.3653,208233.7277,2763205.54,16651.24933,34345.61899,24547.83265,15787923.43,987067.2537,4947319.597,2012.083333,,0.058841598,0.145973781,0.007917993,0.051451697,0.329569809,,,
15158604.35,63912.49402,174500.1083,383780.0981,428634.7134,189691.731,399332.4677,255638.5612,3920257.304,18277.56724,43780.96494,19921.95058,20520704.85,1129543.122,6227284.05,2012.333333,,0.052172295,0.154487336,0.00710955,0.043995588,0.261832466,,,
11674382.85,39287.92132,102542.4732,341928.048,342319.0854,155249.5726,284699.8697,165118.7137,3291309.005,10154.22513,26759.85426,13847.70146,17008850.39,879539.0318,5600568.966,2012.583333,,0.049168151,0.116586609,0.005294285,0.043438187,0.266540877,,,
9265188.436,30860.35894,109213.5761,261036.2796,240358.4754,127832.4578,220068.4254,127872.4408,2683072.102,8802.69204,25989.37146,10724.40826,14424711.04,728753.587,4789010.934,2012.833333,,0.048091549,0.149863518,0.00529486,0.03412552,0.255667853,,,
9324782.998,57155.02127,127967.3003,260423.737,295563.9998,133001.3771,316784.5656,175538.5671,2636154.299,13507.2145,30574.53318,19280.8794,14753998.95,953311.8752,4827008.799,2013.083333,,0.06069224,0.134234455,0.008168473,0.057361695,0.272060519,,,
13907024.89,70646.56657,169443.5819,351769.9698,428775.3621,214247.5347,391413.5027,226848.5006,4046845.943,17430.46334,52920.55887,21940.11613,20639699.7,1226192.229,6801932.83,2013.333333,,0.056077851,0.138186801,0.007894384,0.05404107,0.241629643,,,
3969498.492,11257.17752,52978.34464,126160.1399,136298.6361,61787.25429,98197.09724,79381.3229,1258956.406,6577.490349,19554.93936,7941.577468,13130486.15,803836.8706,4627805.792,2013.583333,,0.057687544,0.065906836,0.003452361,0.049775107,0.320288735,,,
7910672.249,32543.86928,93554.77994,220491.8992,269545.1714,123145.4734,183993.6927,112527.6539,2418686.674,6965.174086,23055.14966,8792.331078,13230327.72,765331.5081,4567681.504,2013.833333,,0.054683491,0.122240858,0.005393406,0.042256722,0.220827813,,,
11292077.61,61855.04842,184891.7104,284733.1586,406352.3083,149982.8935,370263.6757,245256.6214,3282444.769,12266.89121,48907.33369,35934.23581,16747349.22,1212581.707,5501472.706,2014.083333,,0.067515945,0.152477734,0.009491861,0.058602733,0.303221332,,,
16932813.17,88013.29243,222165.8577,440767.3632,599090.7311,264508.6058,417359.087,273094.7644,4882193.714,23107.87403,64582.17345,35391.0875,22572928.16,1430723.754,7467917.747,2014.333333,,0.05960442,0.155282148,0.009351663,0.056802812,0.277122245,,,
15754795.59,54427.95732,194346.0606,358966.8185,596503.6356,220996.2267,432611.6012,253390.4159,4612397.752,20310.02012,63018.58715,22945.12955,21848585.46,1377037.593,7182598.009,2014.583333,,0.059289587,0.141133446,0.007355245,0.04953404,0.269164242,,,
12414298.39,40711.71677,161503.5322,321054.4246,425785.5001,181874.476,351821.8321,183614.2602,3654145.927,15303.63526,47523.38366,12858.91044,17774608.67,1076521.603,5942420.262,2014.833333,,0.057106475,0.150023494,0.006548535,0.041824424,0.241951162,,,
12034504.98,61038.57346,188392.4948,264143.4576,451639.3627,169200.1505,399033.0723,240815.6021,3478794.175,18077.05011,45549.9906,17882.51259,17844708.8,1253205.851,5609716.362,2015.083333,,0.065620036,0.150328451,0.007988257,0.05045745,0.252262611,,,
16409659.97,65334.06772,247695.229,382689.2815,588807.9229,237468.0979,427838.3135,271386.7011,4656665.537,29219.54339,63105.21839,17135.59522,22168816.36,1383374.698,7053001.193,2015.333333,,0.058736561,0.179051438,0.007884698,0.042178566,0.265198039,,,
15829175.01,57208.67617,205605.8268,448147.7878,611635.0419,234546.6548,352037.2733,244275.942,4465383.3,16439.45087,66100.86688,19265.14407,22065937.75,1439377.178,7191830.238,2015.583333,,0.061236243,0.142843606,0.007206317,0.048026128,0.224537235,,,
12493340.5,45494.98967,140721.3418,280276.4119,450013.4991,174871.5018,248260.7768,185287.8515,3594968.004,17558.50702,46605.111,20340.42593,17786930.39,1052104.57,5653875.002,2015.833333,,0.055847052,0.133752239,0.007308683,0.051812244,0.291532421,,,
8338108.113,31886.19524,126701.3226,160006.6133,319124.6326,111343.9233,263104.599,142176.8904,2181921.195,13958.62559,27004.30072,11394.54857,13965199.23,950107.8779,4277283.287,2016.083333,,0.063700189,0.13335467,0.0060324,0.043278047,0.300950494,,,
7484118.752,29794.74047,87153.15769,163316.3145,258373.5201,99366.19621,174915.8353,114665.907,1994482.995,10500.55523,21736.15573,9750.089801,12822186.1,799702.5341,4085183.021,2016.333333,,0.05870717,0.10898197,0.00559823,0.048858612,0.282114938,,,
7048919.623,33813.10447,91039.88225,208393.2827,255201.2003,111816.3431,174675.5889,119861.6092,2082417.321,9943.675749,18330.56726,7178.314405,12619133.12,783141.6336,4231463.093,2016.583333,,0.058433486,0.116249575,0.00548894,0.045087948,0.247193049,,,
7311649.555,23356.96104,83936.02556,186978.2445,228417.1022,97634.52359,198417.6961,115805.7272,2006699.366,11194.25616,21938.54675,7131.391668,12816519.09,747828.6985,4175238.313,2016.833333,,0.055131932,0.112239642,0.004963996,0.042353604,0.288043303,,,
7124567.325,32440.37964,106767.3695,179033.7189,269312.7728,88567.4518,264664.3271,146773.1743,1982541.934,8666.599606,22724.20952,10387.32677,12870669.26,898476.4491,4023487.636,2017.083333,,0.065252883,0.118831573,0.005766485,0.046280694,0.256727398,,,
7500293.108,24697.96247,83158.87358,159773.9424,278370.829,99525.63492,163369.7047,105427.1872,1974491.946,9456.880964,13027.8745,7415.210049,12932161.12,765727.2887,4029798.215,2017.333333,,0.055901119,0.108601162,0.004221872,0.037420301,0.309024383,,,
7257565.513,39696.66929,101157.1034,187770.024,247417.5233,84954.34742,164851.9786,97995.92709,1933315.486,18897.60946,15876.77073,11797.40734,12899209.61,787101.9907,4079557.079,2017.583333,,0.057510162,0.128518419,0.006687887,0.049464313,0.355808113,,,
7748937.754,28335.4325,91290.40255,157293.8107,258084.0893,89705.3829,192872.4345,121764.8303,2048876.485,15394.90882,15007.72316,7000.143791,13280772.65,750207.6048,4014047.747,2017.833333,,0.05346794,0.121686853,0.004949878,0.039087224,0.340670262,,,
7704004.714,32471.95654,115924.6017,165214.0745,278724.249,103231.6318,268099.6055,150063.122,1906487.21,14919.94121,27976.92,15687.49524,13567498.57,908721.3639,3900777.058,2018.083333,,0.062773388,0.127568919,0.006711356,0.049980208,0.336137446,,,
7903231.658,31223.77244,88842.33139,176173.2114,290888.0665,89271.97031,167595.5206,104166.6669,1958083.405,7312.629218,19281.83868,9526.246224,13519003.9,774175.495,4005142.718,2018.333333,,0.054163981,0.114757354,0.004981468,0.041602782,0.250040891,,,
7712443.059,23574.87522,73294.72985,198472.3387,261600.7885,91469.91982,162500.9456,98406.04648,2021688.686,9884.810661,21821.99062,11063.34313,13336148.91,775138.1608,4078205.694,2018.583333,,0.054930366,0.094556988,0.004974826,0.049982269,0.315745687,,,
7850304.264,19267.77306,81530.59045,161294.3564,218993.1403,83845.73923,192220.2133,109854.1098,2012021.131,8424.436147,20422.62604,7004.050765,13575266.82,702706.5785,4039286.268,2018.833333,,0.049216129,0.116023662,0.004060243,0.033811719,0.279912894,,,
7825423.069,28700.15674,103317.4335,145540.9003,260449.724,104790.5095,256082.5205,130099.5597,1961887.908,13600.48609,19264.36714,18058.83594,13729992.77,816678.9457,3963211.08,2019.083333,,0.05614198,0.126509241,0.005799263,0.043831374,0.397611063,,,
8026315.712,32580.96001,79069.70104,152181.4752,271284.2854,107593.1204,165367.3483,93166.49441,1920071.288,14345.87671,19488.38146,6653.155459,13702043.41,766545.6613,3913256.2,2019.333333,,0.052979987,0.103150673,0.005332663,0.049156513,0.287388799,,,
7540833.368,24462.29688,93640.38143,187016.6699,247508.9125,88017.52371,182457.206,99428.28865,1872752.086,13584.88485,22873.16117,9339.531975,13346650.63,767433.7569,3939912.154,2019.583333,,0.054373613,0.122017543,0.005264233,0.041358888,0.326280354,,,
7296689.08,17846.3441,79263.22387,157822.5857,216185.1038,84790.91224,162982.7114,95437.94774,1855225.883,10433.08704,17085.76,7087.945607,13147769.41,682920.0315,3841151.25,2019.833333,,0.04937715,0.116065162,0.003989508,0.033230764,0.334032123,,,
