"Estimated migrant arrivals by citizenship, visa type and CLPR, 12/16-month rule (Monthly)",
2014M04,"1,278"
2014M05,"1,240"
2014M06,"1,215"
2014M07,"1,420"
2014M08,"1,459"
2014M09,"1,588"
2014M10,"1,552"
2014M11,"1,564"
2014M12,"3,209"
2015M01,"1,754"
2015M02,"1,342"
2015M03,"1,398"
2015M04,"1,283"
2015M05,"1,325"
2015M06,"1,260"
2015M07,"1,504"
2015M08,"1,565"
2015M09,"1,584"
2015M10,"1,666"
2015M11,"1,682"
2015M12,"3,169"
2016M01,"1,831"
2016M02,"1,534"
2016M03,"1,430"
2016M04,"1,304"
2016M05,"1,249"
2016M06,"1,208"
2016M07,"1,378"
2016M08,"1,510"
2016M09,"1,535"
2016M10,"1,524"
2016M11,"1,615"
2016M12,"3,026"
2017M01,"1,619"
2017M02,"1,398"
2017M03,"1,234"
2017M04,"1,191"
2017M05,"1,103"
2017M06,"1,159"
2017M07,"1,195"
2017M08,"1,257"
2017M09,"1,338"
2017M10,"1,309"
2017M11,"1,358"
2017M12,"2,664"
2018M01,"1,430"
2018M02,"1,150"
2018M03,"1,180"
2018M04,"1,027"
2018M05,"1,013"
2018M06,961
2018M07,"1,103"
2018M08,"1,257"
2018M09,"1,329"
2018M10,"1,184"
2018M11,"1,323"
2018M12,"2,490"
2019M01,"1,382"
2019M02,"1,108"
2019M03,"1,132"
2019M04,"1,100"
2019M05,"1,128"
2019M06,"1,124"
2019M07,"1,344"
2019M08,"1,430"
2019M09,"1,478"
2019M10,"1,601"
2019M11,"1,802"
2019M12,"3,202"
2020M01,"1,660"
2020M02,"1,562"
2020M03,"2,051"
2020M04,328
2020M05,583
2020M06,673
2020M07,"1,341"
2020M08,"1,764"
2020M09,"1,636"
2020M10,"1,369"
2020M11,"1,394"
2020M12,"1,517"
2021M01,"1,157"
2021M02,"1,058"
2021M03,"1,062"
2021M04,"1,697"
2021M05,"1,734"
2021M06,"1,058"
2021M07,"1,643"
2021M08,91
2021M09,69
2021M10,561
2021M11,448
2021M12,"1,288"
2022M01,645
2022M02,416
2022M03,"2,370"
2022M04,"1,355"
2022M05,"1,135"
2022M06,818
2022M07,"1,065"
2022M08,895
2022M09,900
2022M10,844
2022M11,"1,051"
2022M12,"1,454"
2023M01,767
2023M02,693
2023M03,690
2023M04,575
2023M05,553
2023M06,583
2023M07,619
2023M08,656
2023M09,719
2023M10,622
2023M11,811
2023M12,"1,374"
2024M01,877
2024M02,800
2024M03,765
2024M04,694
2024M05,659
2024M06,628
2024M07,633
2024M08,614
2024M09,582
Table information: ,
Units:,
"Number, Magnitude = Units",
,
Footnotes:,
"The standard error indicates the uncertainty of the provisional migration estimate. For example, the 95 percent confidence interval is +/-1.96 standard errors.",
"These intervals reflect the model uncertainty, not the extent of future revisions to provisional data. Standard errors are non-additive.",
"Owing to rounding, individual figures may not sum to stated totals.",
Visa type is available from July 2003,
,
Symbols:,
.. figure not available,
C: Confidential,
E: Early Estimate,
P: Provisional,
R: Revised,
S: Suppressed,
,
Status flags are not displayed,
,
Table reference:,
ITM479AA,
,
Last updated:,
13 November 2024 10:45am,
,
Source: Statistics New Zealand,
Contact: Information Centre,
Telephone: 0508 525 525,
Email:info@stats.govt.nz,
,
,
